date,symbol,open,high,low,close,macd,macd_signal_line,macd_hist,atr,bolling_middle_band,bolling_upper_band,bolling_lower_band,bolling_upper_diff,bolling_lower_diff,lrs,highest_high,lowest_low,pcn_highest_high,pcn_lowest_low,rmi,rsi,smi
1980-12-12,AAPL,0.1003256291151046,0.1007618032954494,0.1003256291151046,0.1003256291151046,,,,,,,,,,,,,,,,,
1980-12-15,AAPL,0.0955277779866761,0.0955277779866761,0.0950916036963462,0.0950916036963462,,,,,,,,,,,,,,,,,
1980-12-16,AAPL,0.0885482470604849,0.0885482470604849,0.0881120786070823,0.0881120786070823,,,,,,,,,,,,,,,,,
1980-12-17,AAPL,0.0902929306030273,0.0907291048710487,0.0902929306030273,0.0902929306030273,,,,,,,,,,,,,,,,,
1980-12-18,AAPL,0.0929107442498207,0.0933469126905996,0.0929107442498207,0.0929107442498207,,,,,,,,,,,,,,,,,
1980-12-19,AAPL,0.098580963909626,0.0990171381778778,0.098580963909626,0.098580963909626,,,,,,,,,,,,,0.1008,0.0881,,,
1980-12-22,AAPL,0.1033788174390792,0.1038157719387229,0.1033788174390792,0.1033788174390792,,,,,,,,,,,,,0.099,0.0881,,,
1980-12-23,AAPL,0.1077413409948348,0.1081775152440182,0.1077413409948348,0.1077413409948349,,,,,,,,,,,,,0.1038,0.0881,,,
1980-12-24,AAPL,0.1134115532040596,0.113847727383682,0.1134115532040596,0.1134115532040596,,,,,,,,,,,,,0.1082,0.0903,,,83.5514
1980-12-26,AAPL,0.123880460858345,0.1243166350972217,0.123880460858345,0.123880460858345,,,,,,,,,,,,,0.1138,0.0929,,,89.4842
1980-12-29,AAPL,0.1256251037120819,0.126061277803557,0.1256251037120819,0.1256251037120819,,,,,,,,,,,,,0.1243,0.0986,,,92.4785
1980-12-30,AAPL,0.1230081750590018,0.1230081750590018,0.122572012245655,0.122572012245655,,,,,,,,,,,,,0.1261,0.1034,94.1383,,86.3816
1980-12-31,AAPL,0.1195187667151527,0.1195187667151527,0.1190825924277305,0.1190825924277305,,,,,,,,,,,,,0.1261,0.1077,94.424,,68.1755
1981-01-02,AAPL,0.1203910559415817,0.1212634041707894,0.1203910559415817,0.1203910559415817,,,,0.0045,,,,,,0.0028,,,0.1261,0.1134,91.295,,46.928
1981-01-05,AAPL,0.1182102019921033,0.1182102019921033,0.1177740395069122,0.1177740395069122,,,,0.0043,,,,,,0.0029,,,0.1261,0.1191,84.1266,64.5108,14.8921
1981-01-06,AAPL,0.1129753836228252,0.1129753836228252,0.1125392094254493,0.1125392094254493,,,,0.0044,,,,,,0.0026,,,0.1261,0.1178,75.472,59.0909,-22.0938
1981-01-07,AAPL,0.1081775152440182,0.1081775152440182,0.1077413409948348,0.1077413409948349,,,,0.0044,,,,,,0.0018,,,0.123,0.1125,66.618,54.5455,-54.6959
1981-01-08,AAPL,0.1059966066953892,0.1059966066953892,0.1055604442954063,0.1055604442954063,,,,0.0043,,,,,,0.001,,,0.1213,0.1077,56.6806,52.381,-75.9906
1981-01-09,AAPL,0.1112307086586952,0.1116668828959809,0.1112307086586952,0.1112307086586952,,,,0.0044,,,,,,0.0003,,,0.1213,0.1056,52.7155,55.814,-64.7653
1981-01-12,AAPL,0.1112307016519301,0.1112307016519301,0.1103583648800849,0.1103583648800849,,,,0.0041,0.1083,0.1306,0.086,-0.020254042893200333,0.02437077265337012,-0.0003,,,0.1182,0.1056,51.3473,55.0,-46.7067
1981-01-13,AAPL,0.1068689696329263,0.1068689696329263,0.1064327955245971,0.1064327955245971,,,,0.0041,0.1086,0.1306,0.0866,-0.02419846251105605,0.019864053560250255,-0.0009,,,0.113,0.1056,50.4494,50.0,-44.6102
1981-01-14,AAPL,0.1068689748644828,0.107305148994164,0.1068689748644828,0.1068689748644828,,,,0.0039,0.1092,0.1304,0.088,-0.023495296817805267,0.01883324654677085,-0.0013,,,0.1117,0.1056,51.4202,50.0,-46.1352
1981-01-15,AAPL,0.1090498939156532,0.1099222310076134,0.1090498939156532,0.1090498939156532,,,,0.0038,0.1103,0.1291,0.0915,-0.020075715653352394,0.017575503484658805,-0.0015,,,0.1117,0.1056,49.5703,51.3514,-38.4575
1981-01-16,AAPL,0.1086136572013222,0.1086136572013222,0.1081774830818176,0.1081774830818176,,,,0.0036,0.1112,0.1277,0.0947,-0.019522690168700674,0.013477656332335886,-0.0014,,,0.1117,0.1064,47.6126,51.4286,-33.8234
1981-01-19,AAPL,0.1147200912237167,0.1151562655064839,0.1147200912237167,0.1147200912237167,,,,0.0039,0.1123,0.1266,0.098,-0.01184104335008869,0.016681225797522084,-0.0009,,,0.1112,0.1064,55.2823,56.7568,7.3134
1981-01-20,AAPL,0.1116668828959809,0.1116668828959809,0.1112307086586952,0.1112307086586952,0.0016,,,0.0038,0.1129,0.1257,0.1001,-0.014498532060489927,0.011159949377880299,-0.0006,,,0.1152,0.1064,58.9015,54.0541,15.871
1981-01-21,AAPL,0.1134115532040596,0.1142838899155308,0.1134115532040596,0.1134115532040596,0.0017,,,0.0038,0.1134,0.1255,0.1013,-0.012052913945764882,0.012076020353884082,-0.0003,,,0.1152,0.1069,62.3811,55.5556,26.0303
1981-01-22,AAPL,0.1147200912237167,0.1155924397892512,0.1147200912237167,0.1147200912237167,0.0018,,,0.0037,0.1137,0.1255,0.1019,-0.010771292702718746,0.01281147515015213,0.0001,,,0.1152,0.1082,67.1491,57.1429,41.2894
1981-01-23,AAPL,0.1147200711892646,0.1151562453958594,0.1142838969826698,0.1142838969826698,0.002,,,0.0035,0.1138,0.1256,0.102,-0.01130877404149741,0.012276568006837033,0.0004,,,0.1156,0.1082,66.5068,57.5758,45.2877
1981-01-26,AAPL,0.1129753836228252,0.1129753836228252,0.1125392094254493,0.1125392094254493,0.0018,,,0.0033,0.1132,0.124,0.1024,-0.011509589033375275,0.01018800788427389,0.0006,,,0.1156,0.1112,67.5702,56.25,30.6631
1981-01-27,AAPL,0.1125391798125333,0.1125391798125333,0.1116668432950973,0.1116668432950973,0.0017,,,0.0032,0.1125,0.1217,0.1033,-0.010075883160563709,0.008409569750758294,0.0005,,,0.1156,0.1112,64.4519,54.8387,1.3017
1981-01-28,AAPL,0.1086136572013222,0.1086136572013222,0.1081774830818176,0.1081774830818176,0.0013,,,0.0032,0.1118,0.12,0.1036,-0.011802055461301517,0.004557021624936722,0.0003,,,0.1156,0.1117,53.8092,50.0,-40.0689
1981-01-29,AAPL,0.1046881326293465,0.1046881326293465,0.1042519584298133,0.1042519584298133,0.0006,,,0.0032,0.1111,0.1192,0.103,-0.014940007346657402,0.0012439242062839972,0.0001,,,0.1156,0.1082,41.7333,45.4545,-71.0435
1981-01-30,AAPL,0.0994533124461296,0.0994533124461296,0.098580963909626,0.098580963909626,-0.0004,0.0011,-0.0015,0.0034,0.11,0.1186,0.1014,-0.020045880319433954,-0.002792191861314061,-0.0003,,,0.1152,0.1043,30.7571,40.0,-87.0458
1981-02-02,AAPL,0.0933469126905996,0.0933469126905996,0.0929107442498207,0.0929107442498207,-0.0016,0.0005,-0.0021,0.0036,0.1087,0.1194,0.098,-0.026476720298564904,-0.005101791201793715,-0.0008,,,0.113,0.0986,21.9084,35.1351,-94.453
1981-02-03,AAPL,0.0964000895619392,0.0968362578872981,0.0964000895619392,0.0964000895619392,-0.0023,-0.0,-0.0023,0.0036,0.1079,0.1197,0.0961,-0.02329283131747635,0.0002930104413547546,-0.0012,,,0.1125,0.0929,18.1593,40.5405,-84.7575
1981-02-04,AAPL,0.0998894423246383,0.1003256047512885,0.0998894423246383,0.0998894423246383,-0.0024,-0.0005,-0.0019,0.0036,0.1075,0.1198,0.0952,-0.019912365890597833,0.004691250539874431,-0.0014,,,0.1086,0.0929,16.9326,44.4444,-60.6262
1981-02-05,AAPL,0.0998894423246383,0.1007617788257095,0.0998894423246383,0.0998894423246383,-0.0026,-0.0009,-0.0017,0.0034,0.1072,0.1199,0.0945,-0.020034432704199773,0.00541331735347636,-0.0016,,,0.1047,0.0929,18.8125,44.1176,-31.6968
1981-02-06,AAPL,0.1003256291151046,0.1007618032954494,0.1003256291151046,0.1003256291151046,-0.0027,-0.0013,-0.0014,0.0032,0.1067,0.1196,0.0938,-0.01930040361346924,0.006551661843678447,-0.0015,,,0.1008,0.0929,29.1908,43.75,-0.5406
1981-02-09,AAPL,0.0959639464531177,0.0959639464531177,0.0950916036963462,0.0950916036963462,-0.0031,-0.0016,-0.0015,0.0034,0.1059,0.1196,0.0922,-0.02455579300663066,0.0029390003993230718,-0.0016,,,0.1008,0.0929,28.4572,39.3939,-5.4719
1981-02-10,AAPL,0.0950916036963462,0.0955277779866761,0.0950916036963462,0.0950916036963462,-0.0034,-0.002,-0.0014,0.0032,0.1054,0.1199,0.0909,-0.024839486508637876,0.004222693901330288,-0.0016,,,0.1008,0.0951,25.7456,38.7097,-24.2024
1981-02-11,AAPL,0.0924745389633486,0.0924745389633486,0.092038370668888,0.092038370668888,-0.0038,-0.0024,-0.0014,0.0032,0.1046,0.1202,0.089,-0.0281825743580119,0.0030593156957878925,-0.0015,,,0.1008,0.0951,21.8518,35.4839,-51.0302
