Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,360516.5924,361558.3707,354020.7979,360026.3438,11,0,-0.0086,361558.3707,
2010-03-18,357942.7436,360332.7054,354265.8793,355736.625,9,0,0.0258,360332.7054,358465.8505
2010-03-19,362171.1562,365296.4911,351630.8113,362171.1562,14,0,-0.0086,365296.4911,369632.9172
2010-03-22,365541.5853,367073.6121,347524.9506,351998.4688,23,0,-0.0477,367073.6121,362171.9975
2010-03-23,350159.9841,354388.3774,343786.7538,345012.375,17,0,0.0258,354388.3774,349567.0523
2010-03-24,346728.3492,351692.1167,346299.3816,348689.3438,19,0,0.0026,351692.1167,363535.1657
2010-03-25,341213.0295,351998.4988,337045.9163,351569.5312,21,0,0.0032,351998.4988,352598.6333
2010-03-26,346912.1324,355246.3578,342745.0197,349424.6562,15,0,-0.0106,355246.3578,353120.3691
2010-03-29,344644.7819,347402.4304,341825.8524,344889.9062,12,0,0.0026,347402.4304,351475.2875
2010-03-30,341887.124,347463.7019,338577.9458,341519.4375,8,0,0.0258,347463.7019,348297.89
2010-03-31,345196.2814,347892.6486,340416.3578,345257.5625,17,0,0.0026,347892.6486,356431.7638
2010-04-01,342070.9488,353775.6338,335330.0308,345992.9375,14,0,-0.0079,353775.6338,348789.3718
2010-04-05,344338.3522,346360.6277,334288.2562,336433.0938,18,0,-0.0201,346360.6277,350965.3291
2010-04-06,339006.8275,340416.2919,330733.8843,333736.6562,14,0,0.0026,340416.2919,339389.5601
2010-04-07,336126.6542,341151.7018,331530.5742,335452.5625,17,0,0.0026,341151.7018,341293.7441
2010-04-08,338945.6115,343602.973,332388.5368,334288.25,10,0,-0.0222,343602.973,342031.0496
2010-04-09,333062.6417,335636.4469,327424.7828,327976.3125,12,0,0.0026,335636.4469,335977.1312
2010-04-12,327057.0621,328834.2131,324421.9762,326934.5,12,0,-0.0086,328834.2131,336501.5786
2010-04-13,328037.5437,329814.6946,321357.9075,321786.875,22,0,-0.0256,329814.6946,326021.5927
2010-04-14,316823.1699,318048.7914,310388.6568,310572.5,23,0,-0.0256,318048.7914,321356.8913
2010-04-15,310572.4892,310572.4892,305608.7221,306773.0625,20,0,0.0258,310572.4892,309892.7143
2010-04-16,309653.3001,322951.2945,306466.6839,316455.5,40,0,0.0032,322951.2945,318588.3864
2010-04-19,320745.1479,329140.6552,315229.8511,317803.6562,39,0,-0.0222,329140.6552,323980.5872
2010-04-20,312533.4093,318906.6396,310756.2585,313513.9062,22,0,-0.0106,318906.6396,321835.7866
2010-04-21,306711.7516,312717.2964,304689.4763,307263.2812,25,0,-0.0086,312717.2964,315521.3287
2010-04-22,316394.1458,321235.3501,301564.1278,302483.3438,49,0,-0.0477,321235.3501,310042.5289
2010-04-23,302789.8329,305547.4817,297887.3462,298806.5625,17,0,0.0026,305547.4817,305914.9193
2010-04-26,298009.8829,301993.153,296171.4506,300828.8125,21,0,0.0264,301993.153,306335.0565
2010-04-27,303954.1075,321909.461,300277.2433,319274.375,44,0,0.0032,321909.461,309971.6993
2010-04-28,314065.4518,326199.1025,314065.4518,318784.0938,80,0,-0.01,326199.1025,322935.4332
2010-04-29,314371.8701,314371.8701,300644.9112,302299.5,44,0,0.0066,314371.8701,322935.217
2010-04-30,302789.7697,320806.4045,301319.024,320193.5938,41,0,-0.0079,320806.4045,316457.9116
2010-05-03,316271.6286,316455.4718,302115.7003,306589.2188,37,0,0.0066,316455.4718,318257.9991
2010-05-04,318048.766,340355.0763,317926.2038,334349.5312,71,0,0.0264,340355.0763,318555.3393
2010-05-05,343602.9546,350221.3101,332756.2054,338823.0312,76,0,0.0258,350221.3101,349347.1304
2010-05-06,345809.0806,462120.5523,291391.49,373324.2812,116,0,0.0264,462120.5523,359260.5461
2010-05-07,381781.0477,423145.768,367625.1213,397775.4062,118,0,-0.0079,423145.768,474329.6048
2010-05-10,348811.849,351017.9676,338577.9104,339987.375,88,0,-0.0201,351017.9676,419784.4045
2010-05-11,348628.0047,351140.5286,326076.5711,339619.6875,63,0,-0.0284,351140.5286,343953.1635
2010-05-12,334901.0861,335942.8644,319887.2222,321112.8438,44,0,0.0066,335942.8644,341178.5081
2010-05-13,324912.2507,337781.2761,317374.6787,336004.125,41,0,0.0264,337781.2761,338172.0421
2010-05-14,343664.222,366828.4652,343480.3788,355185.0625,66,0,0.0032,366828.4652,346705.3313
2010-05-17,352611.2809,374488.6231,347892.6384,352488.7188,45,0,0.0258,374488.6231,367997.6007
2010-05-18,343173.9751,370689.1741,340967.8567,366215.6562,44,0,0.0264,370689.1741,384154.2001
2010-05-19,370260.2634,387112.5594,361742.1938,374978.9062,89,0,0.0264,387112.5594,380482.6437
2010-05-20,395753.1407,418917.3847,394098.5519,411624.9375,97,0,-0.0079,418917.3847,397339.9286
2010-05-21,436443.8229,441039.9036,393669.6319,407090.1875,119,0,-0.0327,441039.9036,415589.6103
2010-05-24,404087.3754,407886.8017,390115.2914,404209.9375,67,0,0.0026,407886.8017,426608.9828
2010-05-25,434605.3913,446248.7958,404761.5073,407335.3125,122,0,0.0066,446248.7958,408938.165
2010-05-26,400471.805,421981.4613,383129.2617,419407.6562,63,0,-0.0079,421981.4613,449209.918
2010-05-27,390728.1349,394711.4047,372282.5313,372282.5312,73,0,0.0066,394711.4047,418629.3467
2010-05-28,371302.0226,388522.0042,369769.9958,379146.0,76,0,0.0264,388522.0042,397330.5461
2010-06-01,382577.7403,390605.5609,362906.5158,390054.0312,59,0,-0.0079,390605.5609,398786.6105
2010-06-02,382700.2511,390482.9463,360884.1919,362354.9375,45,0,-0.0515,390482.9463,387502.6886
2010-06-03,358923.1963,365173.8649,349608.4745,351508.1875,67,0,0.0066,365173.8649,370355.8136
2010-06-04,373569.3531,390666.7694,360148.8006,386806.0625,115,0,0.0264,390666.7694,367597.0075
2010-06-07,380678.0174,409051.1536,378165.4934,408131.9375,82,0,0.0032,409051.1536,400988.0396
2010-06-08,405619.3574,427006.4484,402861.7095,410092.875,119,0,0.0264,427006.4484,410354.859
2010-06-09,402616.6173,424248.8343,390911.9333,421062.2188,89,0,-0.0079,424248.8343,438287.7993
2010-06-10,404884.0333,408744.7407,383435.6586,384232.3125,105,0,-0.0464,408744.7407,420878.7083
2010-06-11,396059.5278,396427.2142,372834.0039,374120.9062,93,0,-0.0201,396427.2142,389792.0482
2010-06-14,363458.0338,375652.967,355736.6188,375040.1562,60,0,-0.0079,375652.967,388448.4756
2010-06-15,368421.8389,369157.2118,342622.5052,344460.9375,68,0,-0.0497,369157.2118,372668.8743
2010-06-16,346483.1335,348321.5654,334594.6072,339006.8438,72,0,-0.0264,348321.5654,350826.1213
2010-06-17,334349.5011,345073.6878,333369.004,334717.1875,46,0,0.0026,345073.6878,339123.7507
2010-06-18,333797.9709,338026.3646,328160.1128,334533.3438,37,0,0.0258,338026.3646,345963.1449
2010-06-21,322706.0929,349302.0755,321235.3473,343235.25,112,0,0.0264,349302.0755,346750.8482
2010-06-22,339681.0026,353591.8067,332204.7113,351569.5312,106,0,0.0264,353591.8067,358530.5059
2010-06-23,350466.4837,364438.5695,347096.0245,355797.9375,87,0,0.0264,364438.5695,362933.5702
2010-06-24,360761.6031,375346.4955,357758.8311,373875.75,74,0,0.0032,375346.4955,374066.9004
2010-06-25,369157.1381,381781.0376,364928.7446,373508.0938,44,0,0.0264,381781.0376,376542.7792
2010-06-28,373508.1683,385457.9785,367686.4659,377797.8438,52,0,0.0264,385457.9785,391867.55
2010-06-29,395385.506,429519.0657,394282.4466,419591.5312,122,0,0.0264,429519.0657,395641.6343
2010-06-30,425719.6046,443368.5532,413034.4228,440181.9375,105,0,0.0032,443368.5532,440866.799
2010-07-01,437301.7083,469780.6749,433502.282,444349.0312,158,0,0.0032,469780.6749,444781.6331
2010-07-02,442510.579,460404.6504,437669.3748,448025.875,68,0,0.0032,460404.6504,471277.9341
2010-07-06,428906.2005,455073.2168,419897.8834,443858.7812,99,0,-0.0079,455073.2168,461872.0268
2010-07-07,439630.3885,440610.8856,400410.5043,401881.25,64,0,-0.0894,440610.8856,451458.2297
2010-07-08,392382.7287,409296.3056,390054.0478,395875.75,63,0,-0.0222,409296.3056,401237.0734
2010-07-09,395814.4966,410276.8315,383313.1562,383313.1562,58,0,-0.0201,410276.8315,400212.4818
2010-07-12,384416.1432,388093.0073,373569.394,380003.9062,44,0,-0.0222,388093.0073,402019.347
2010-07-13,370382.771,378962.1204,361497.0163,366951.0312,59,0,-0.0201,378962.1204,379479.7644
2010-07-14,364132.1436,368054.1324,354327.1717,359719.9062,52,0,0.0026,368054.1324,371332.9681
2010-07-15,362538.8302,373263.018,355797.9121,357820.1875,60,0,0.0258,373263.018,369002.8235
2010-07-16,363458.0068,389747.5844,361558.2937,386622.25,89,0,-0.0079,389747.5844,382896.962
2010-07-19,385028.9502,394833.9211,376265.7575,378778.2812,89,0,-0.0222,394833.9211,386651.5276
2010-07-20,397040.0608,400349.2387,364315.9688,364315.9688,83,0,0.007,400349.2387,386071.0719
2010-07-21,353469.2305,381658.5242,352978.9819,379207.2812,67,0,-0.0079,381658.5242,403139.9693
2010-07-22,364377.2494,364499.8116,346054.2091,353469.2188,62,0,-0.0256,364499.8116,378626.7249
2010-07-23,357942.7091,360148.8275,343541.6585,344277.0312,84,0,-0.0464,360148.8275,355152.5395
2010-07-26,343174.0118,347770.0924,335513.8776,336433.0938,32,0,-0.0052,347770.0924,343449.4322
2010-07-27,330979.0448,340784.0155,330182.3909,335513.8438,45,0,0.0264,340784.0155,345952.2727
2010-07-28,337536.1103,347831.3294,332940.0304,343051.4062,35,0,0.0264,347831.3294,349787.402
2010-07-29,338700.506,362048.5959,336555.6684,351814.6562,82,0,0.0032,362048.5959,357020.9032
2010-07-30,360516.4968,366828.4463,343173.9558,349179.5,110,0,-0.0284,366828.4463,363202.4973
2010-08-02,336923.3562,340538.9397,327363.5083,330305.0,70,0,0.0066,340538.9397,356421.3523
2010-08-03,331101.6342,338639.2061,330121.1371,334288.25,41,0,-0.0195,338639.2061,342798.6151
2010-08-04,329324.5179,333552.9123,323012.5668,324544.5938,33,0,0.0026,333552.9123,332028.2436
2010-08-05,328834.2412,332449.8245,324728.4092,325770.1875,35,0,0.0026,332449.8245,334412.6736
2010-08-06,337290.9693,342316.0164,325157.3189,327240.875,59,0,-0.0201,342316.0164,333306.7425
2010-08-09,322828.7356,328956.8438,318661.6221,328956.8438,24,0,0.0032,328956.8437,335426.3532
2010-08-10,329018.0908,337045.9116,324054.3237,327976.3125,49,0,0.0258,337045.9116,330005.2769
2010-08-11,345992.9637,359842.4872,345441.434,355307.6875,56,0,0.0264,359842.4872,345745.0896
2010-08-12,376143.215,378410.6146,360087.5743,364132.125,68,0,0.0066,378410.6146,369349.3914
2010-08-13,368666.9172,372405.0625,364132.118,372405.0625,36,0,0.0032,372405.0625,380921.5907
2010-08-16,378226.7575,382761.5566,362661.366,370198.9375,46,0,-0.0264,382761.5566,373591.9715
2010-08-17,362722.6979,364254.7248,346238.088,355307.6875,47,0,-0.0256,364254.7248,372654.316
2010-08-18,358371.6337,361925.9352,345318.7681,351140.4688,37,0,0.0066,361925.9352,354913.7378
2010-08-19,357881.4625,374672.4764,354204.5982,366522.0938,71,0,0.0032,374672.4764,364327.5258
2010-08-20,368973.3063,375346.5373,364132.102,366889.75,46,0,0.0258,375346.5373,375866.6119
2010-08-23,358432.9917,377246.2809,356104.311,377123.7188,44,0,0.0264,377246.2809,385034.2571
2010-08-24,389257.3388,402616.6115,386193.2855,398081.8125,78,0,-0.0079,402616.6115,387212.9868
