Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,360516.5924,361558.3707,354020.7979,360026.3438,11,0,-0.017,354020.7979,
2010-03-18,357942.7436,360332.7054,354265.8793,355736.625,9,0,0.0057,354265.8793,348012.2561
2010-03-19,362171.1562,365296.4911,351630.8113,362171.1562,14,0,-0.0165,351630.8113,356284.126
2010-03-22,365541.5853,367073.6121,347524.9506,351998.4688,23,0,-0.0249,347524.9506,345831.2352
2010-03-23,350159.9841,354388.3774,343786.7538,345012.375,17,0,0.007,343786.7538,338882.5473
2010-03-24,346728.3492,351692.1167,346299.3816,348689.3438,19,0,0.0054,346299.3816,346184.5837
2010-03-25,341213.0295,351998.4988,337045.9163,351569.5312,21,0,0.02,337045.9163,348156.6223
2010-03-26,346912.1324,355246.3578,342745.0197,349424.6562,15,0,-0.023,342745.0197,343797.2666
2010-03-29,344644.7819,347402.4304,341825.8524,344889.9062,12,0,-0.0044,341825.8524,334873.4063
2010-03-30,341887.124,347463.7019,338577.9458,341519.4375,8,0,0.0057,338577.9458,340315.8979
2010-03-31,345196.2814,347892.6486,340416.3578,345257.5625,17,0,-0.0044,340416.3578,340506.8187
2010-04-01,342070.9488,353775.6338,335330.0308,345992.9375,14,0,-0.0157,335330.0308,338912.6295
2010-04-05,344338.3522,346360.6277,334288.2562,336433.0938,18,0,-0.0047,334288.2562,330054.7463
2010-04-06,339006.8275,340416.2919,330733.8843,333736.6562,14,0,-0.0047,330733.8843,332723.4737
2010-04-07,336126.6542,341151.7018,331530.5742,335452.5625,17,0,-0.0047,331530.5742,329185.7396
2010-04-08,338945.6115,343602.973,332388.5368,334288.25,10,0,-0.0249,332388.5368,329978.7003
2010-04-09,333062.6417,335636.4469,327424.7828,327976.3125,12,0,-0.0047,327424.7828,324122.5524
2010-04-12,327057.0621,328834.2131,324421.9762,326934.5,12,0,-0.017,324421.9762,325892.1278
2010-04-13,328037.5437,329814.6946,321357.9075,321786.875,22,0,-0.0185,321357.9075,318915.794
2010-04-14,316823.1699,318048.7914,310388.6568,310572.5,23,0,-0.0185,310388.6568,315416.7739
2010-04-15,310572.4892,310572.4892,305608.7221,306773.0625,20,0,0.007,305608.7221,304650.3181
2010-04-16,309653.3001,322951.2945,306466.6839,316455.5,40,0,0.0223,306466.6839,307740.2694
2010-04-19,320745.1479,329140.6552,315229.8511,317803.6562,39,0,-0.0249,315229.8511,313286.2065
2010-04-20,312533.4093,318906.6396,310756.2585,313513.9062,22,0,-0.0271,310756.2585,307390.5765
2010-04-21,306711.7516,312717.2964,304689.4763,307263.2812,25,0,-0.017,304689.4763,302344.7659
2010-04-22,316394.1458,321235.3501,301564.1278,302483.3438,49,0,-0.0249,301564.1278,299518.1998
2010-04-23,302789.8329,305547.4817,297887.3462,298806.5625,17,0,-0.0047,297887.3462,294064.6984
2010-04-26,298009.8829,301993.153,296171.4506,300828.8125,21,0,0.0193,296171.4506,296492.9542
2010-04-27,303954.1075,321909.461,300277.2433,319274.375,44,0,0.0238,300277.2433,301879.4123
