Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,0.5531,0.5632,0.5508,0.5554,19910400,0,0.0091,0.5632,
2010-03-18,0.5573,0.5627,0.5536,0.561,26092800,0,-0.0049,0.5627,0.5683
2010-03-19,0.5511,0.5671,0.5452,0.5511,20025600,0,0.0099,0.5671,0.56
2010-03-22,0.5446,0.5726,0.5425,0.566,29395200,0,0.0241,0.5726,0.5728
2010-03-23,0.5698,0.579,0.561,0.5778,27667200,0,-0.0072,0.579,0.5864
2010-03-24,0.5737,0.5749,0.566,0.5696,44620800,0,0.0105,0.5749,0.5748
2010-03-25,0.5835,0.5896,0.5655,0.566,46963200,0,-0.0215,0.5896,0.581
2010-03-26,0.5741,0.5799,0.56,0.5689,42144000,0,0.0118,0.5799,0.5769
2010-03-29,0.5775,0.5826,0.5725,0.5768,19027200,0,0.019,0.5826,0.5867
2010-03-30,0.5815,0.5878,0.571,0.5828,19948800,0,-0.0046,0.5878,0.5937
2010-03-31,0.5763,0.584,0.571,0.5749,29779200,0,0.0034,0.584,0.5851
2010-04-01,0.5814,0.5925,0.5609,0.5738,58310400,0,0.0016,0.5925,0.586
2010-04-05,0.578,0.5939,0.5737,0.5904,33792000,0,0.0104,0.5939,0.5934
2010-04-06,0.5859,0.6003,0.5822,0.5949,29356800,0,0.0023,0.6003,0.6
2010-04-07,0.5929,0.5993,0.5812,0.5915,53126400,0,0.0021,0.5993,0.6017
2010-04-08,0.5855,0.5971,0.5766,0.5937,34828800,0,0.0287,0.5971,0.6006
2010-04-09,0.5956,0.6058,0.591,0.6044,29049600,0,0.0027,0.6058,0.6143
2010-04-12,0.6064,0.6114,0.6024,0.6068,24403200,0,0.0205,0.6114,0.6074
2010-04-13,0.6048,0.6169,0.5993,0.6159,33619200,0,0.0206,0.6169,0.624
2010-04-14,0.6247,0.6382,0.6234,0.6376,30547200,0,0.0212,0.6382,0.6296
2010-04-15,0.637,0.6485,0.6364,0.6462,22886400,0,-0.0026,0.6485,0.6517
2010-04-16,0.6393,0.6456,0.6112,0.6232,64742400,0,-0.0244,0.6456,0.6469
