Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,0.5531,0.5632,0.5508,0.5554,19910400,0,0.0104,0.5508,
2010-03-18,0.5573,0.5627,0.5536,0.561,26092800,0,-0.0288,0.5536,0.5565
2010-03-19,0.5511,0.5671,0.5452,0.5511,20025600,0,0.0104,0.5452,0.5377
2010-03-22,0.5446,0.5726,0.5425,0.566,29395200,0,0.0465,0.5425,0.5508
2010-03-23,0.5698,0.579,0.561,0.5778,27667200,0,-0.0252,0.561,0.5678
2010-03-24,0.5737,0.5749,0.566,0.5696,44620800,0,-0.004,0.566,0.5469
2010-03-25,0.5835,0.5896,0.5655,0.566,46963200,0,-0.0047,0.5655,0.5637
2010-03-26,0.5741,0.5799,0.56,0.5689,42144000,0,0.0236,0.56,0.5629
2010-03-29,0.5775,0.5826,0.5725,0.5768,19027200,0,0.0236,0.5725,0.5732
2010-03-30,0.5815,0.5878,0.571,0.5828,19948800,0,-0.0288,0.571,0.5861
2010-03-31,0.5763,0.584,0.571,0.5749,29779200,0,-0.004,0.571,0.5545
2010-04-01,0.5814,0.5925,0.5609,0.5738,58310400,0,0.0104,0.5609,0.5687
2010-04-05,0.578,0.5939,0.5737,0.5904,33792000,0,0.0214,0.5737,0.5667
2010-04-06,0.5859,0.6003,0.5822,0.5949,29356800,0,0.0049,0.5822,0.586
2010-04-07,0.5929,0.5993,0.5812,0.5915,53126400,0,-0.0033,0.5812,0.585
2010-04-08,0.5855,0.5971,0.5766,0.5937,34828800,0,0.0251,0.5766,0.5793
2010-04-09,0.5956,0.6058,0.591,0.6044,29049600,0,0.005,0.591,0.5911
2010-04-12,0.6064,0.6114,0.6024,0.6068,24403200,0,0.0104,0.6024,0.594
2010-04-13,0.6048,0.6169,0.5993,0.6159,33619200,0,0.0129,0.5993,0.6087
2010-04-14,0.6247,0.6382,0.6234,0.6376,30547200,0,0.032,0.6234,0.6071
2010-04-15,0.637,0.6485,0.6364,0.6462,22886400,0,-0.0259,0.6364,0.6434
2010-04-16,0.6393,0.6456,0.6112,0.6232,64742400,0,-0.0047,0.6112,0.6199
2010-04-19,0.6173,0.6279,0.5995,0.6222,56371200,0,0.0247,0.5995,0.6083
2010-04-20,0.6318,0.6357,0.62,0.6314,28051200,0,0.0236,0.62,0.6143
2010-04-21,0.6442,0.648,0.6306,0.6425,41990400,0,0.0104,0.6306,0.6347
2010-04-22,0.6237,0.6542,0.6131,0.652,61420800,0,0.0465,0.6131,0.6371
2010-04-23,0.6526,0.6627,0.6449,0.6606,41184000,0,0.0039,0.6449,0.6416
2010-04-26,0.6611,0.6661,0.6525,0.6557,40262400,0,-0.0288,0.6525,0.6474
2010-04-27,0.6494,0.6563,0.6099,0.6153,66873600,0,-0.0047,0.6099,0.6338
2010-04-28,0.6247,0.6253,0.6018,0.6167,62534400,0,0.0236,0.6018,0.607
2010-04-29,0.6253,0.6513,0.6252,0.6482,42374400,0,-0.0139,0.6252,0.616
2010-04-30,0.6472,0.6502,0.6084,0.61,44256000,0,0.0104,0.6084,0.6166
2010-05-03,0.6171,0.6441,0.617,0.6349,26304000,0,-0.0163,0.617,0.6147
2010-05-04,0.6109,0.6109,0.565,0.5788,68620800,0,-0.0471,0.565,0.6069
2010-05-05,0.5606,0.5794,0.5499,0.5693,69254400,0,-0.0471,0.5499,0.5384
2010-05-06,0.5575,0.5736,0.3515,0.5135,108902400,0,0.0521,0.3515,0.524
