	ts_code	hs_type	in_date	out_date	is_new
0	601628.SH	SH	20141117		1
1	601099.SH	SH	20141117		1
2	601808.SH	SH	20141117		1
3	601107.SH	SH	20141117		1
4	601880.SH	SH	20141117		1
5	600348.SH	SH	20141117		1
6	600557.SH	SH	20141117		1
7	600426.SH	SH	20141117		1
8	600487.SH	SH	20141117		1
9	600446.SH	SH	20141117		1
10	600039.SH	SH	20141117		1
11	600511.SH	SH	20141117		1
12	600565.SH	SH	20141117		1
13	600547.SH	SH	20141117		1
14	600004.SH	SH	20141117		1
15	600597.SH	SH	20141117		1
16	600559.SH	SH	20141117		1
17	600026.SH	SH	20141117		1
18	600587.SH	SH	20141117		1
19	600340.SH	SH	20141117		1
20	600507.SH	SH	20141117		1
21	600438.SH	SH	20141117		1
22	600516.SH	SH	20141117		1
23	600521.SH	SH	20141117		1
24	600031.SH	SH	20141117		1
25	600030.SH	SH	20141117		1
26	600990.SH	SH	20141117		1
27	600352.SH	SH	20141117		1
28	600459.SH	SH	20141117		1
29	600050.SH	SH	20141117		1
30	600012.SH	SH	20141117		1
31	600460.SH	SH	20141117		1
32	600406.SH	SH	20141117		1
33	600439.SH	SH	20141117		1
34	600993.SH	SH	20141117		1
35	600563.SH	SH	20141117		1
36	600549.SH	SH	20141117		1
37	600020.SH	SH	20141117		1
38	600967.SH	SH	20141117		1
39	600015.SH	SH	20141117		1
40	600570.SH	SH	20141117		1
41	600271.SH	SH	20141117		1
42	600577.SH	SH	20141117		1
43	600572.SH	SH	20141117		1
44	600489.SH	SH	20141117		1
45	600502.SH	SH	20141117		1
46	600491.SH	SH	20141117		1
47	600522.SH	SH	20141117		1
48	600900.SH	SH	20141117		1
49	600029.SH	SH	20141117		1
50	600436.SH	SH	20141117		1
51	600409.SH	SH	20141117		1
52	601958.SH	SH	20141117		1
53	601038.SH	SH	20141117		1
54	600387.SH	SH	20141117		1
55	601866.SH	SH	20141117		1
56	600284.SH	SH	20141117		1
57	600535.SH	SH	20141117		1
58	600499.SH	SH	20141117		1
59	600580.SH	SH	20141117		1
60	601238.SH	SH	20141117		1
61	601919.SH	SH	20141117		1
62	601001.SH	SH	20141117		1
63	601333.SH	SH	20141117		1
64	601158.SH	SH	20141117		1
65	601666.SH	SH	20141117		1
66	601006.SH	SH	20141117		1
67	600970.SH	SH	20141117		1
68	600973.SH	SH	20141117		1
69	600987.SH	SH	20141117		1
70	601699.SH	SH	20141117		1
71	601588.SH	SH	20141117		1
72	600000.SH	SH	20141117		1
73	600007.SH	SH	20141117		1
74	600009.SH	SH	20141117		1
75	600010.SH	SH	20141117		1
76	600011.SH	SH	20141117		1
77	600016.SH	SH	20141117		1
78	600019.SH	SH	20141117		1
79	600028.SH	SH	20141117		1
80	600036.SH	SH	20141117		1
81	600038.SH	SH	20141117		1
82	600056.SH	SH	20141117		1
83	600062.SH	SH	20141117		1
84	600066.SH	SH	20141117		1
85	600068.SH	SH	20141117		1
86	600073.SH	SH	20141117		1
87	600085.SH	SH	20141117		1
88	600089.SH	SH	20141117		1
89	600104.SH	SH	20141117		1
90	600109.SH	SH	20141117		1
91	600111.SH	SH	20141117		1
92	600115.SH	SH	20141117		1
93	600118.SH	SH	20141117		1
94	600125.SH	SH	20141117		1
95	600138.SH	SH	20141117		1
96	600141.SH	SH	20141117		1
97	600153.SH	SH	20141117		1
98	600161.SH	SH	20141117		1
99	600162.SH	SH	20141117		1
100	600398.SH	SH	20141117		1
101	600422.SH	SH	20141117		1
102	600486.SH	SH	20141117		1
103	600498.SH	SH	20141117		1
104	600500.SH	SH	20141117		1
105	600519.SH	SH	20141117		1
106	600528.SH	SH	20141117		1
107	600536.SH	SH	20141117		1
108	600548.SH	SH	20141117		1
109	600566.SH	SH	20141117		1
110	600567.SH	SH	20141117		1
111	600582.SH	SH	20141117		1
112	600583.SH	SH	20141117		1
113	600585.SH	SH	20141117		1
114	600596.SH	SH	20141117		1
115	600600.SH	SH	20141117		1
116	600611.SH	SH	20141117		1
117	600612.SH	SH	20141117		1
118	600623.SH	SH	20141117		1
119	600626.SH	SH	20141117		1
120	600635.SH	SH	20141117		1
121	600637.SH	SH	20141117		1
122	600641.SH	SH	20141117		1
123	600642.SH	SH	20141117		1
124	600643.SH	SH	20141117		1
125	600648.SH	SH	20141117		1
126	600655.SH	SH	20141117		1
127	600657.SH	SH	20141117		1
128	600660.SH	SH	20141117		1
129	600663.SH	SH	20141117		1
130	600664.SH	SH	20141117		1
131	600667.SH	SH	20141117		1
132	600668.SH	SH	20141117		1
133	600673.SH	SH	20141117		1
134	600674.SH	SH	20141117		1
135	600682.SH	SH	20141117		1
136	600685.SH	SH	20141117		1
137	600688.SH	SH	20141117		1
138	600690.SH	SH	20141117		1
139	600694.SH	SH	20141117		1
140	600703.SH	SH	20141117		1
141	600705.SH	SH	20141117		1
142	600708.SH	SH	20141117		1
143	600711.SH	SH	20141215		1
144	600720.SH	SH	20141117		1
145	600729.SH	SH	20141117		1
146	600739.SH	SH	20141117		1
147	600741.SH	SH	20141117		1
148	600742.SH	SH	20141117		1
149	600748.SH	SH	20141117		1
150	600750.SH	SH	20141117		1
151	600754.SH	SH	20141117		1
152	600755.SH	SH	20141117		1
153	600756.SH	SH	20141117		1
154	600765.SH	SH	20141117		1
155	600775.SH	SH	20141117		1
156	600787.SH	SH	20141117		1
157	600795.SH	SH	20141117		1
158	600808.SH	SH	20141117		1
159	600811.SH	SH	20141117		1
160	600816.SH	SH	20141117		1
161	600820.SH	SH	20141117		1
162	600823.SH	SH	20141117		1
163	600826.SH	SH	20141117		1
164	600828.SH	SH	20141117		1
165	600835.SH	SH	20141117		1
166	600837.SH	SH	20141117		1
167	600846.SH	SH	20141117		1
168	601607.SH	SH	20141117		1
169	600850.SH	SH	20141117		1
170	600859.SH	SH	20141117		1
171	600863.SH	SH	20141117		1
172	600867.SH	SH	20141117		1
173	600872.SH	SH	20141117		1
174	600874.SH	SH	20141117		1
175	600875.SH	SH	20141117		1
176	600876.SH	SH	20141117		1
177	600886.SH	SH	20141117		1
178	600887.SH	SH	20141117		1
179	600893.SH	SH	20141117		1
180	600171.SH	SH	20141117		1
181	600176.SH	SH	20141117		1
182	600180.SH	SH	20141215		1
183	600183.SH	SH	20141117		1
184	600185.SH	SH	20141117		1
185	600188.SH	SH	20141117		1
186	600196.SH	SH	20141117		1
187	600197.SH	SH	20141117		1
188	600201.SH	SH	20141117		1
189	600208.SH	SH	20141117		1
190	600210.SH	SH	20141117		1
191	600216.SH	SH	20141117		1
192	600236.SH	SH	20141117		1
193	600239.SH	SH	20141117		1
194	600261.SH	SH	20141117		1
195	600276.SH	SH	20141117		1
196	600277.SH	SH	20141117		1
197	600285.SH	SH	20141117		1
198	600298.SH	SH	20141117		1
199	600305.SH	SH	20141215		1
200	600309.SH	SH	20141117		1
201	600312.SH	SH	20141117		1
202	600323.SH	SH	20141117		1
203	600329.SH	SH	20141117		1
204	600332.SH	SH	20141117		1
205	600335.SH	SH	20141117		1
206	600350.SH	SH	20141117		1
207	600362.SH	SH	20141117		1
208	600363.SH	SH	20141117		1
209	600366.SH	SH	20141117		1
210	600372.SH	SH	20141117		1
211	600377.SH	SH	20141117		1
212	600380.SH	SH	20141117		1
213	600383.SH	SH	20141117		1
214	600388.SH	SH	20141117		1
215	600395.SH	SH	20141117		1
216	601021.SH	SH	20150615		1
217	603600.SH	SH	20150615		1
218	600958.SH	SH	20150615		1
219	600273.SH	SH	20150615		1
220	603609.SH	SH	20150615		1
221	600661.SH	SH	20150615		1
222	603019.SH	SH	20150615		1
223	601788.SH	SH	20150615		1
224	600917.SH	SH	20150615		1
225	603686.SH	SH	20150615		1
226	600123.SH	SH	20150615		1
227	603899.SH	SH	20150615		1
228	600206.SH	SH	20150615		1
229	601016.SH	SH	20150615		1
230	603368.SH	SH	20150615		1
231	600897.SH	SH	20141117		1
232	601992.SH	SH	20141117		1
233	601800.SH	SH	20141117		1
234	601000.SH	SH	20141117		1
235	600018.SH	SH	20141117		1
236	600295.SH	SH	20141117		1
237	600027.SH	SH	20141117		1
238	600420.SH	SH	20141117		1
239	601727.SH	SH	20141117		1
240	601991.SH	SH	20141117		1
241	601688.SH	SH	20141117		1
242	601328.SH	SH	20141117		1
243	601939.SH	SH	20141117		1
244	601398.SH	SH	20141117		1
245	601288.SH	SH	20141117		1
246	601988.SH	SH	20141117		1
247	601901.SH	SH	20141117		1
248	601390.SH	SH	20141117		1
249	601318.SH	SH	20141117		1
250	601166.SH	SH	20141117		1
251	601857.SH	SH	20141117		1
252	601336.SH	SH	20141117		1
253	601377.SH	SH	20141117		1
254	601818.SH	SH	20141117		1
255	600999.SH	SH	20141117		1
256	601555.SH	SH	20141117		1
257	600048.SH	SH	20141117		1
258	601002.SH	SH	20141117		1
259	601098.SH	SH	20141117		1
260	601877.SH	SH	20141117		1
261	601717.SH	SH	20141117		1
262	601233.SH	SH	20141117		1
263	601012.SH	SH	20141117		1
264	603077.SH	SH	20141117		1
265	601567.SH	SH	20141117		1
266	601789.SH	SH	20141117		1
267	601222.SH	SH	20141117		1
268	603993.SH	SH	20141117		1
269	601799.SH	SH	20141117		1
270	601933.SH	SH	20141117		1
271	601311.SH	SH	20141117		1
272	601668.SH	SH	20141117		1
273	601139.SH	SH	20141117		1
274	601898.SH	SH	20141117		1
275	601088.SH	SH	20141117		1
276	601231.SH	SH	20141117		1
277	601633.SH	SH	20141117		1
278	601766.SH	SH	20141117		1
279	601216.SH	SH	20141117		1
280	601618.SH	SH	20141117		1
281	601989.SH	SH	20141117		1
282	601111.SH	SH	20141117		1
283	601600.SH	SH	20141117		1
284	601998.SH	SH	20141117		1
285	601009.SH	SH	20141117		1
286	601169.SH	SH	20141117		1
287	601186.SH	SH	20141117		1
288	601058.SH	SH	20141117		1
289	603288.SH	SH	20141215		1
290	601899.SH	SH	20141117		1
291	601678.SH	SH	20141117		1
