Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
1999-02-25,0.4731,0.4875,0.4325,0.4397,14913600.0,0,-0.0509,0.4397,
1999-02-26,0.4445,0.4588,0.4158,0.4194,17260800.0,0,-0.0007,0.4194,0.4173
1999-03-01,0.4301,0.4397,0.4014,0.4218,9216000.0,0,-0.0037,0.4218,0.4191
1999-03-02,0.4206,0.423,0.411,0.4182,5524800.0,0,-0.0346,0.4182,0.4202
1999-03-03,0.4206,0.4206,0.3871,0.3895,6139200.0,0,-0.0276,0.3895,0.4037
1999-03-04,0.4086,0.411,0.3776,0.3811,5736000.0,0,0.0506,0.3811,0.3787
1999-03-05,0.3847,0.4038,0.3847,0.4026,7876800.0,0,0.0441,0.4026,0.4004
1999-03-08,0.3919,0.4206,0.3847,0.4086,7588800.0,0,0.052,0.4086,0.4204
1999-03-09,0.4074,0.4277,0.4074,0.4218,14318400.0,0,-0.0397,0.4218,0.4299
1999-03-10,0.4277,0.4277,0.4086,0.4146,23534400.0,0,-0.0393,0.4146,0.405
1999-03-11,0.4074,0.4146,0.3967,0.3967,5428800.0,0,-0.0414,0.3967,0.3983
1999-03-12,0.3991,0.3991,0.3823,0.3895,9076800.0,0,0.037,0.3895,0.3803
1999-03-15,0.3991,0.411,0.3967,0.4062,10881600.0,0,-0.0397,0.4062,0.4039
1999-03-16,0.4086,0.4134,0.3895,0.3931,7915200.0,0,0.0019,0.3931,0.3901
1999-03-17,0.3967,0.4038,0.3859,0.3955,5136000.0,0,0.0318,0.3955,0.3938
1999-03-18,0.3967,0.4062,0.3871,0.4003,4632000.0,0,0.0003,0.4003,0.4081
1999-03-19,0.3991,0.4134,0.3991,0.4014,10531200.0,0,-0.0418,0.4014,0.4004
1999-03-22,0.4098,0.411,0.3895,0.3895,3667200.0,0,-0.0383,0.3895,0.3847
1999-03-23,0.3919,0.3919,0.3584,0.3656,16396800.0,0,0.0003,0.3656,0.3746
1999-03-24,0.3632,0.3656,0.3489,0.3632,6086400.0,0,0.0318,0.3632,0.3657
1999-03-25,0.362,0.3823,0.3608,0.368,4032000.0,0,0.0578,0.368,0.3748
1999-03-26,0.3728,0.4014,0.3728,0.4003,8827200.0,0,0.023,0.4003,0.3893
1999-03-29,0.4122,0.4218,0.405,0.4122,6595200.0,0,-0.0408,0.4122,0.4095
1999-03-30,0.4134,0.417,0.3752,0.3776,6950400.0,0,0.0435,0.3776,0.3954
1999-03-31,0.3895,0.4086,0.3716,0.4038,15360000.0,0,-0.0454,0.4038,0.394
1999-04-01,0.4038,0.4062,0.3847,0.3919,3043200.0,0,-0.042,0.3919,0.3855
1999-04-05,0.3871,0.3967,0.3776,0.3799,9864000.0,0,-0.0323,0.3799,0.3754
1999-04-06,0.3835,0.3847,0.3632,0.3704,6969600.0,0,0.0506,0.3704,0.3677
1999-04-07,0.3728,0.4038,0.3704,0.4014,8928000.0,0,0.0318,0.4014,0.3891
1999-04-08,0.4038,0.4206,0.3991,0.4086,13012800.0,0,-0.0342,0.4086,0.4142
1999-04-09,0.411,0.411,0.3991,0.4014,4862400.0,0,-0.0344,0.4014,0.3946
1999-04-12,0.3967,0.3967,0.3776,0.3847,3331200.0,0,-0.042,0.3847,0.3876
1999-04-13,0.3919,0.3919,0.3632,0.3692,3614400.0,0,-0.0344,0.3692,0.3686
1999-04-14,0.368,0.3764,0.3584,0.3584,4828800.0,0,0.0318,0.3584,0.3565
1999-04-15,0.368,0.368,0.3584,0.368,3585600.0,0,0.0499,0.368,0.3698
1999-04-16,0.3656,0.3859,0.3656,0.3799,3892800.0,0,-0.0369,0.3799,0.3864
1999-04-19,0.3847,0.3847,0.3584,0.3632,3129600.0,0,-0.0363,0.3632,0.3659
1999-04-20,0.3632,0.3776,0.3525,0.356,6768000.0,0,0.0318,0.356,0.35
1999-04-21,0.356,0.3632,0.3537,0.362,3748800.0,0,-0.0421,0.362,0.3674
1999-04-22,0.3632,0.3632,0.3429,0.3465,22718400.0,0,-0.035,0.3465,0.3468
1999-04-23,0.3453,0.3465,0.3274,0.3298,12604800.0,0,-0.0361,0.3298,0.3344
1999-04-26,0.3298,0.3345,0.3059,0.313,12350400.0,0,0.0787,0.313,0.3179
1999-04-27,0.3202,0.3489,0.3154,0.3465,22694400.0,0,-0.0003,0.3465,0.3377
1999-04-28,0.3489,0.3489,0.3333,0.3441,12009600.0,0,0.0003,0.3441,0.3464
1999-04-29,0.3453,0.3465,0.3369,0.3441,4814400.0,0,0.0441,0.3441,0.3442
1999-04-30,0.3477,0.3632,0.3453,0.3489,9931200.0,0,-0.0013,0.3489,0.3593
1999-05-03,0.3525,0.3525,0.3417,0.3513,3384000.0,0,-0.0401,0.3513,0.3484
1999-05-04,0.3513,0.3513,0.325,0.3322,9604800.0,0,0.037,0.3322,0.3372
