Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
1999-02-25,0.4731,0.4875,0.4325,0.4397,14913600.0,0,-0.0608,0.4325,
1999-02-26,0.4445,0.4588,0.4158,0.4194,17260800.0,0,-0.0068,0.4158,0.4062
1999-03-01,0.4301,0.4397,0.4014,0.4218,9216000.0,0,-0.0062,0.4014,0.413
1999-03-02,0.4206,0.423,0.411,0.4182,5524800.0,0,-0.0329,0.411,0.399
1999-03-03,0.4206,0.4206,0.3871,0.3895,6139200.0,0,-0.0438,0.3871,0.3975
1999-03-04,0.4086,0.411,0.3776,0.3811,5736000.0,0,0.0077,0.3776,0.3702
1999-03-05,0.3847,0.4038,0.3847,0.4026,7876800.0,0,0.0121,0.3847,0.3804
1999-03-08,0.3919,0.4206,0.3847,0.4086,7588800.0,0,0.0559,0.3847,0.3894
1999-03-09,0.4074,0.4277,0.4074,0.4218,14318400.0,0,-0.0088,0.4074,0.4062
1999-03-10,0.4277,0.4277,0.4086,0.4146,23534400.0,0,-0.0422,0.4086,0.4038
1999-03-11,0.4074,0.4146,0.3967,0.3967,5428800.0,0,-0.0329,0.3967,0.3914
1999-03-12,0.3991,0.3991,0.3823,0.3895,9076800.0,0,0.0085,0.3823,0.3836
1999-03-15,0.3991,0.411,0.3967,0.4062,10881600.0,0,-0.0074,0.3967,0.3856
1999-03-16,0.4086,0.4134,0.3895,0.3931,7915200.0,0,-0.0068,0.3895,0.3937
1999-03-17,0.3967,0.4038,0.3859,0.3955,5136000.0,0,0.0088,0.3859,0.3869
1999-03-18,0.3967,0.4062,0.3871,0.4003,4632000.0,0,0.0169,0.3871,0.3893
1999-03-19,0.3991,0.4134,0.3991,0.4014,10531200.0,0,-0.0193,0.3991,0.3936
1999-03-22,0.4098,0.411,0.3895,0.3895,3667200.0,0,-0.066,0.3895,0.3914
1999-03-23,0.3919,0.3919,0.3584,0.3656,16396800.0,0,-0.0068,0.3584,0.3638
1999-03-24,0.3632,0.3656,0.3489,0.3632,6086400.0,0,0.0102,0.3489,0.356
1999-03-25,0.362,0.3823,0.3608,0.368,4032000.0,0,0.0366,0.3608,0.3524
1999-03-26,0.3728,0.4014,0.3728,0.4003,8827200.0,0,0.0658,0.3728,0.374
1999-03-29,0.4122,0.4218,0.405,0.4122,6595200.0,0,-0.0326,0.405,0.3973
1999-03-30,0.4134,0.417,0.3752,0.3776,6950400.0,0,0.0077,0.3752,0.3918
1999-03-31,0.3895,0.4086,0.3716,0.4038,15360000.0,0,0.0077,0.3716,0.378
1999-04-01,0.4038,0.4062,0.3847,0.3919,3043200.0,0,-0.0329,0.3847,0.3744
1999-04-05,0.3871,0.3967,0.3776,0.3799,9864000.0,0,-0.0329,0.3776,0.3721
1999-04-06,0.3835,0.3847,0.3632,0.3704,6969600.0,0,0.0077,0.3632,0.3651
1999-04-07,0.3728,0.4038,0.3704,0.4014,8928000.0,0,0.0658,0.3704,0.366
1999-04-08,0.4038,0.4206,0.3991,0.4086,13012800.0,0,-0.0317,0.3991,0.3948
1999-04-09,0.411,0.411,0.3991,0.4014,4862400.0,0,-0.0329,0.3991,0.3864
