Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
1999-04-13,47.9637,48.0712,46.647,47.0232,9962200,0,-0.0299,47.0232,
1999-04-14,47.6144,47.6681,45.149,45.411,21253800,0,0.0187,45.411,45.6188
1999-04-15,45.5722,46.1029,43.96,46.029,17650600,0,-0.0296,46.029,46.2622
1999-04-16,45.9215,45.9215,44.4437,44.6855,17274000,0,-0.0392,44.6855,44.665
1999-04-19,44.9811,45.3573,42.1395,42.5896,19460600,0,0.0224,42.5896,42.9329
1999-04-20,42.4015,43.9063,41.9985,43.5569,17413600,0,0.0504,43.5569,43.5416
1999-04-21,43.96,45.7335,43.3689,45.7066,10940400,0,0.0269,45.7066,45.7531
1999-04-22,46.1365,47.077,45.8342,46.9426,13630600,0,0.0153,46.9426,46.9383
1999-04-23,46.7008,47.9099,46.2171,47.5606,7064400,0,0.0271,47.5606,47.6628
1999-04-26,47.8831,49.0116,47.7286,48.6556,5421000,0,-0.0291,48.6556,48.8504
1999-04-27,49.0116,49.2535,47.2987,47.91,16482800,0,-0.0299,47.91,47.2414
1999-04-28,47.5069,47.6681,46.0626,46.2708,7676800,0,0.0005,46.2708,46.479
1999-04-29,46.0559,46.3246,44.9273,45.8946,19148200,0,0.0014,45.8946,46.2929
1999-04-30,46.5396,46.7814,44.5512,46.1903,15295200,0,1e-04,46.1903,45.9609
1999-05-03,46.0559,46.244,45.1759,45.9484,11109800,0,-0.0212,45.9484,46.1932
1999-05-04,46.029,46.7545,44.9542,45.2229,15428400,0,0.0271,45.2229,44.9755
1999-05-05,45.2498,46.5933,43.8794,46.5933,12642600,0,-0.029,46.5933,46.4485
1999-05-06,46.1634,46.5664,44.4705,44.9005,15173400,0,0.0251,44.9005,45.2409
1999-05-07,45.3035,45.6797,44.3362,45.5453,16430400,0,0.0213,45.5453,46.0275
1999-05-10,45.8409,46.3111,45.3035,46.0021,10604200,0,0.0266,46.0021,46.5138
1999-05-11,46.3784,46.9695,46.1097,46.7277,8800800,0,0.0251,46.7277,47.2274
1999-05-12,46.9426,47.8562,45.5722,47.695,12507400,0,-0.0293,47.695,47.9021
1999-05-13,48.0712,48.1518,46.5933,46.8083,9864000,0,-0.0287,46.8083,46.2976
1999-05-14,45.8947,46.4321,45.5722,45.9216,12205400,0,0.0253,45.9216,45.4648
1999-05-17,45.5185,46.8889,45.0684,46.7478,9906800,0,-0.004,46.7478,47.0829
1999-05-18,46.7008,46.9695,46.0022,46.5396,9267800,0,0.0193,46.5396,46.5631
1999-05-19,46.7277,47.2113,46.0022,47.1845,7985600,0,-0.0177,47.1845,47.4374
1999-05-20,47.2852,47.2852,45.814,45.8879,5997200,0,-0.0036,45.8879,46.3478
1999-05-21,46.029,46.1634,45.2229,45.4647,10958600,0,-0.021,45.4647,45.7216
1999-05-24,45.5454,45.626,44.0137,44.3093,9569800,0,-0.03,44.3093,44.508
1999-05-25,44.2556,44.9005,42.6702,42.8583,17771200,0,0.0216,42.8583,42.9803
