Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2018-12-26,1.4606,1.4606,1.4606,1.4606,500,0,0.0215,1.4606,
2018-12-27,1.3445,1.5006,1.3445,1.4626,12995,0,-0.0106,1.5006,1.492
2018-12-28,1.3405,1.3545,1.1265,1.3405,15494,0,0.0215,1.3545,1.4848
2018-12-31,1.4906,1.4906,1.4906,1.4906,1499,0,-0.0106,1.4906,1.3837
2019-01-02,1.3605,1.4206,1.3605,1.4206,1499,0,0.0215,1.4206,1.4749
2019-01-03,1.4206,1.4206,1.4206,1.4206,0,0,-0.0106,1.4206,1.4511
2019-01-04,1.4046,1.4046,1.4006,1.4006,5998,0,-0.0106,1.4046,1.4056
2019-01-07,1.3505,1.3505,1.3505,1.3505,1499,0,0.0215,1.3505,1.3897
2019-01-08,1.3505,1.4886,1.3505,1.4006,18493,0,0.0215,1.4886,1.3796
2019-01-09,1.3986,1.3986,1.3986,1.3986,3998,0,0.0215,1.3986,1.5206
2019-01-10,1.3986,1.3986,1.3986,1.3986,0,0,-0.0106,1.3986,1.4286
2019-01-11,1.3285,1.4586,1.3285,1.3285,2499,0,0.0215,1.4586,1.3838
2019-01-14,1.3285,1.3285,1.3285,1.3285,0,0,-0.0106,1.3285,1.49
2019-01-17,1.4466,1.4466,1.3065,1.3065,2499,0,-0.0131,1.4466,1.3145
2019-01-18,1.3906,1.3906,1.3906,1.3906,1000,0,-0.0106,1.3906,1.4276
2019-01-22,1.2665,1.2665,1.2665,1.2665,500,0,-0.0106,1.2665,1.3759
2019-01-23,1.2705,1.2705,1.0324,1.1124,12495,0,-0.0131,1.2705,1.2531
2019-01-24,1.1885,1.1885,1.1885,1.1885,1000,0,0.0215,1.1885,1.2539
2019-01-25,1.3005,1.3946,1.3005,1.3505,47981,0,0.0215,1.3946,1.214
2019-01-28,1.3505,1.4006,1.3505,1.4006,41983,0,-0.0106,1.4006,1.4246
2019-01-29,1.4006,1.4006,1.3005,1.3005,24490,0,-0.0131,1.4006,1.3858
2019-01-30,1.3005,1.3005,1.3005,1.3005,500,0,0.0215,1.3005,1.3822
2019-01-31,1.3505,1.3505,1.3505,1.3505,1499,0,0.0215,1.3505,1.3285
2019-02-01,1.3505,1.3505,1.3505,1.3505,500,0,0.0215,1.3505,1.3796
2019-02-04,1.3505,1.3505,1.3505,1.3505,500,0,-0.0106,1.3505,1.3796
2019-02-07,1.3085,1.3105,1.3005,1.3005,14994,0,0.0215,1.3105,1.3363
2019-02-08,1.3005,1.3005,1.3005,1.3005,500,0,-0.0106,1.3005,1.3387
2019-02-11,1.2285,1.2285,1.2285,1.2285,500,0,-0.0106,1.2285,1.2868
2019-02-12,1.2305,1.2305,1.2005,1.2005,11995,0,-0.0106,1.2305,1.2155
2019-02-13,1.2025,1.2025,1.1345,1.1405,24990,0,0.0215,1.2025,1.2175
2019-02-14,1.1705,1.1905,1.0424,1.1905,12495,0,0.0215,1.1905,1.2283
2019-02-15,1.2105,1.2105,1.2105,1.2105,4998,0,-0.0106,1.2105,1.2161
2019-02-19,1.1905,1.1905,1.1905,1.1905,500,0,0.0215,1.1905,1.1977
2019-02-20,1.1905,1.1905,1.1905,1.1905,0,0,0.0215,1.1905,1.2161
2019-02-21,1.0224,1.2965,1.0104,1.1965,23990,0,-0.0106,1.2965,1.2161
2019-02-22,1.2005,1.3005,1.1605,1.1605,2999,0,0.0215,1.3005,1.2828
2019-02-25,1.1064,1.1625,1.1064,1.1625,2499,0,0.0215,1.1625,1.3285
2019-02-26,1.1605,1.1965,1.1605,1.1965,2499,0,0.0215,1.1965,1.1875
2019-02-27,1.1965,1.1965,1.1965,1.1965,500,0,0.0215,1.1965,1.2222
2019-02-28,1.1965,1.1965,1.1965,1.1965,500,0,-0.0106,1.1965,1.2222
2019-03-01,1.1365,1.1365,1.0004,1.0004,20992,0,-0.0131,1.1365,1.1839
2019-03-04,1.0004,1.0004,1.0004,1.0004,1000,0,0.0215,1.0004,1.1216
2019-03-05,1.0004,1.0004,1.0004,1.0004,500,0,0.0215,1.0004,1.0219
2019-03-06,1.1204,1.1204,1.1204,1.1204,500,0,0.0215,1.1204,1.0219
2019-03-07,1.1204,1.2325,1.1204,1.1204,1499,0,0.0215,1.2325,1.1445
2019-03-21,1.2925,1.2925,1.1625,1.1625,4998,0,-0.0131,1.2925,1.259
2019-03-22,1.1625,1.1625,1.1625,1.1625,500,0,0.0215,1.1625,1.2756
2019-03-25,1.2185,1.2185,1.2185,1.2185,1000,0,-0.0106,1.2185,1.1875
2019-03-26,1.2005,1.2425,1.2005,1.2005,21991,0,0.0215,1.2425,1.2056
2019-03-27,1.2005,1.2005,1.2005,1.2005,500,0,0.0215,1.2005,1.2692
2019-03-29,1.2505,1.5206,1.2105,1.2105,18493,0,-0.0106,1.5206,1.2263
2019-04-01,1.0044,1.1004,1.0004,1.1004,7997,0,0.0215,1.1004,1.5046
2019-04-02,1.1465,1.1465,1.1465,1.1465,5498,0,0.0215,1.1465,1.1241
2019-04-03,1.3005,1.5746,1.3005,1.3665,18493,0,0.0215,1.5746,1.1711
2019-04-04,1.5846,1.6086,1.2025,1.5306,78968,0,-0.0106,1.6086,1.6085
2019-04-05,1.6046,1.6046,1.4526,1.4586,13495,0,-0.0451,1.6046,1.5917
2019-04-08,1.4586,1.5926,1.4026,1.4026,22991,0,0.0215,1.5926,1.5322
2019-04-09,1.5046,1.5306,1.3465,1.4006,40984,0,-0.0451,1.5306,1.6269
2019-04-10,1.3745,1.4646,1.2245,1.2825,19492,0,-0.0131,1.4646,1.4615
2019-04-11,1.3005,1.3005,1.0244,1.2705,10496,0,-0.0106,1.3005,1.4454
2019-04-12,1.1024,1.4566,1.1024,1.2005,8996,0,0.0215,1.4566,1.2868
2019-04-15,1.2005,1.2005,1.2005,1.2005,500,0,0.0215,1.2005,1.4879
2019-04-16,1.2005,1.2005,1.2005,1.2005,1499,0,0.0215,1.2005,1.2263
2019-04-17,1.2005,1.2005,1.2005,1.2005,2499,0,0.0215,1.2005,1.2263
2019-04-18,1.2005,1.2005,1.2005,1.2005,500,0,0.0215,1.2005,1.2263
2019-04-24,1.2505,1.3786,1.2505,1.3485,7997,0,0.0215,1.3786,1.2263
2019-04-25,1.4106,1.9788,1.4106,1.9068,225910,0,-0.0106,1.9788,1.4082
2019-04-26,1.9008,1.9168,1.6206,1.8007,89464,0,-0.0106,1.9168,1.9579
2019-04-29,1.9008,1.9008,1.5486,1.5486,52479,0,-0.0131,1.9008,1.8965
2019-04-30,1.7847,1.7887,1.5206,1.6507,34986,0,-0.0131,1.7887,1.8759
2019-05-01,1.7487,1.7487,1.5606,1.7067,9496,0,-0.0106,1.7487,1.7653
2019-05-02,1.7427,1.7427,1.5486,1.6667,13994,0,0.0215,1.7427,1.7302
2019-05-03,1.6807,1.7887,1.6247,1.7747,41483,0,0.0215,1.7887,1.7802
2019-05-06,1.6307,1.7807,1.6006,1.7687,12995,0,-0.0106,1.7807,1.8272
2019-05-07,1.7567,1.7767,1.7387,1.7387,6497,0,-0.0106,1.7767,1.7619
2019-05-08,1.6487,1.7407,1.5726,1.5726,24490,0,0.0215,1.7407,1.758
2019-05-09,1.6887,1.6887,1.5586,1.6347,5998,0,0.0215,1.6887,1.7781
2019-05-10,1.5406,1.6367,1.5406,1.6367,5998,0,-0.0106,1.6367,1.725
2019-05-13,1.5166,1.6247,1.5026,1.5966,12495,0,0.0215,1.6247,1.6194
2019-05-14,1.5686,1.5946,1.5006,1.5946,12995,0,0.0215,1.5946,1.6596
2019-05-15,1.6006,1.7007,1.6006,1.7007,4998,0,-0.0106,1.7007,1.6289
2019-05-16,1.7047,1.7047,1.6687,1.6687,5498,0,0.0215,1.7047,1.6827
2019-05-17,1.6607,1.6887,1.5706,1.6607,18493,0,-0.0106,1.6887,1.7413
2019-05-20,1.6447,1.6447,1.5326,1.5326,6497,0,-0.0131,1.6447,1.6709
2019-05-21,1.5386,1.6026,1.5326,1.6006,18992,0,-0.0106,1.6026,1.6231
2019-05-22,1.5986,1.5986,1.4406,1.5406,21991,0,-0.0106,1.5986,1.5857
2019-05-23,1.3145,1.5006,1.3145,1.4666,9496,0,-0.0106,1.5006,1.5818
2019-05-24,1.4966,1.4966,1.3345,1.4306,9996,0,0.0215,1.4966,1.4848
2019-05-28,1.4006,1.4686,1.3405,1.4686,2499,0,-0.0106,1.4686,1.5288
2019-05-29,1.3405,1.3405,1.2845,1.2845,5498,0,0.0215,1.3405,1.4531
2019-05-30,1.3105,1.4066,1.2805,1.4066,6497,0,0.0215,1.4066,1.3694
2019-05-31,1.4066,1.4066,1.4066,1.4066,500,0,0.0215,1.4066,1.4368
2019-06-03,1.4006,1.8007,1.4006,1.7007,14494,0,0.0215,1.8007,1.4368
2019-06-04,2.0008,2.0008,1.6186,1.7667,10996,0,-0.0451,2.0008,1.8395
2019-06-05,2.0828,2.0828,1.6026,1.7467,39484,0,-0.0131,2.0828,1.9105
2019-06-06,1.6287,1.7487,1.5906,1.7487,5998,0,0.0215,1.7487,2.0556
2019-06-07,1.7487,1.7487,1.7487,1.7487,500,0,0.0215,1.7487,1.7863
2019-06-10,1.7387,1.9748,1.7387,1.8487,7997,0,-0.0106,1.9748,1.7863
2019-06-11,1.6747,1.8507,1.6747,1.8007,5998,0,0.0215,1.8507,1.9539
2019-06-12,1.7387,1.8948,1.7147,1.8407,7997,0,-0.0106,1.8948,1.8905
2019-06-13,1.7827,1.8307,1.6347,1.6347,24990,0,-0.0131,1.8307,1.8748
2019-06-14,1.7207,1.7807,1.6787,1.7407,5998,0,-0.0106,1.7807,1.8068
2019-06-17,1.6767,1.6767,1.6427,1.6427,2499,0,0.0215,1.6767,1.7619
2019-06-18,1.6907,1.7727,1.6407,1.7727,5998,0,-0.0106,1.7727,1.7127
2019-06-19,1.7347,1.7427,1.7347,1.7427,3998,0,0.0215,1.7427,1.754
2019-06-20,1.6907,1.7307,1.6907,1.7307,7997,0,0.0215,1.7307,1.7802
2019-06-21,1.7887,1.7887,1.7887,1.7887,1000,0,-0.0106,1.7887,1.7679
2019-06-24,1.8007,1.8007,1.7107,1.7507,5998,0,-0.0106,1.8007,1.7698
2019-06-25,1.7907,1.9008,1.5866,1.6927,143942,0,0.0215,1.9008,1.7817
2019-06-26,1.9008,2.0428,1.5926,1.7287,38984,0,-0.0451,2.0428,1.9416
2019-06-27,1.7147,1.7467,1.5926,1.5926,9996,0,-0.0451,1.7467,1.9506
2019-06-28,1.4306,1.6126,1.2405,1.4406,48481,0,0.0215,1.6126,1.6678
2019-07-01,1.5966,1.5966,1.4206,1.5726,16993,0,-0.0106,1.5966,1.6473
2019-07-02,1.4206,1.5646,1.3826,1.3826,12995,0,0.0215,1.5646,1.5798
2019-07-03,1.3465,1.6206,1.3465,1.4506,13495,0,-0.0106,1.6206,1.5983
2019-07-05,1.3525,1.4006,1.3405,1.3405,17993,0,0.0215,1.4006,1.6035
2019-07-08,1.3605,1.4966,1.3585,1.4966,12495,0,0.0215,1.4966,1.4307
2019-07-09,1.4066,1.6226,1.3806,1.6226,12995,0,-0.0106,1.6226,1.5288
2019-07-10,1.5966,1.5966,1.3005,1.4946,14994,0,-0.0451,1.5966,1.6055
2019-07-11,1.4886,1.4886,1.3325,1.4006,13994,0,-0.0131,1.4886,1.5246
2019-07-12,1.3966,1.3986,1.3225,1.3906,9496,0,-0.0106,1.3986,1.4691
2019-07-15,1.4006,1.4006,1.3585,1.3585,4998,0,-0.0106,1.4006,1.3838
2019-07-16,1.3906,1.3906,1.3005,1.3005,4998,0,-0.0131,1.3906,1.3858
2019-07-17,1.3165,1.3745,1.3005,1.3745,6497,0,-0.0106,1.3745,1.3724
2019-07-18,1.2705,1.3405,1.2425,1.3005,15994,0,0.0215,1.3405,1.36
2019-07-19,1.3946,1.3946,1.3806,1.3946,21991,0,0.0215,1.3946,1.3694
2019-07-22,1.4006,1.5726,1.4006,1.5206,30988,0,-0.0106,1.5726,1.4246
2019-07-23,1.4706,1.4706,1.3625,1.3625,2499,0,-0.0131,1.4706,1.556
2019-07-24,1.5206,1.5206,1.3766,1.5206,15994,0,0.0215,1.5206,1.4513
2019-07-25,1.4886,1.5186,1.4126,1.5186,14994,0,-0.0106,1.5186,1.5533
2019-07-26,1.5006,1.5006,1.4486,1.4486,1999,0,-0.0106,1.5006,1.5026
2019-07-29,1.4506,1.4506,1.3545,1.4306,6997,0,-0.0106,1.4506,1.4848
2019-07-30,1.3625,1.4006,1.3545,1.4006,4998,0,0.0215,1.4006,1.4353
2019-07-31,1.4066,1.4066,1.4066,1.4066,2499,0,-0.0106,1.4066,1.4307
2019-08-01,1.3846,1.3846,1.3846,1.3846,2999,0,0.0215,1.3846,1.3917
2019-08-02,1.3505,1.4706,1.3365,1.4706,5498,0,0.0215,1.4706,1.4143
2019-08-05,1.3505,1.4706,1.3365,1.4706,500,0,-0.0106,1.4706,1.5022
2019-08-06,1.4786,1.4786,1.3225,1.3225,32487,0,-0.0131,1.4786,1.4551
2019-08-07,1.3605,1.3605,1.3525,1.3545,6997,0,-0.0106,1.3605,1.4592
2019-08-08,1.3005,1.4446,1.2445,1.3245,15994,0,0.0215,1.4446,1.3462
2019-08-09,1.3986,1.3986,1.3986,1.3986,2999,0,-0.0106,1.3986,1.4756
2019-08-12,1.3225,1.3245,1.3205,1.3245,7497,0,0.0215,1.3245,1.3838
2019-08-13,1.4006,1.4006,1.4006,1.4006,1499,0,-0.0106,1.4006,1.353
2019-08-14,1.3605,1.3605,1.3205,1.3225,9996,0,-0.0106,1.3605,1.3858
2019-08-15,1.3405,1.3405,1.2385,1.2385,16993,0,-0.0131,1.3405,1.3462
2019-08-16,1.2645,1.3906,1.2645,1.3906,5998,0,0.0215,1.3906,1.323
2019-08-19,1.3906,1.3906,1.3906,1.3906,0,0,0.0215,1.3906,1.4205
2019-08-20,1.3906,1.3906,1.3906,1.3906,0,0,-0.0106,1.3906,1.4205
2019-08-21,1.2545,1.3385,1.2545,1.2885,6497,0,0.0215,1.3385,1.3759
2019-08-22,1.2885,1.2885,1.2885,1.2885,0,0,0.0215,1.2885,1.3673
2019-08-23,1.3185,1.3185,1.3185,1.3185,1000,0,-0.0106,1.3185,1.3162
2019-08-26,1.3305,1.3605,1.3005,1.3025,6997,0,0.0215,1.3605,1.3046
2019-08-27,1.3025,1.3025,1.3025,1.3025,0,0,0.0215,1.3025,1.3898
2019-08-28,1.3025,1.3025,1.3025,1.3025,0,0,-0.0106,1.3025,1.3305
2019-08-29,1.2245,1.2825,1.2245,1.2565,7997,0,0.0215,1.2825,1.2888
2019-08-30,1.2565,1.2565,1.2565,1.2565,0,0,0.0215,1.2565,1.3101
2019-09-03,1.3205,1.5006,1.3205,1.4206,121951,0,0.0215,1.5006,1.2835
2019-09-04,1.4226,1.6206,1.3465,1.5206,107957,0,-0.0106,1.6206,1.5329
2019-09-05,1.6327,1.6327,1.4406,1.4806,47481,0,-0.0131,1.6327,1.6035
2019-09-06,1.6006,1.6006,1.4806,1.5006,88465,0,-0.0131,1.6006,1.6113
2019-09-09,1.4706,1.5486,1.4706,1.5446,26989,0,-0.0106,1.5486,1.5797
2019-09-10,1.5626,1.8067,1.4406,1.4406,159436,0,-0.0131,1.8067,1.5323
2019-09-11,1.4406,1.4926,1.4226,1.4606,60476,0,-0.0106,1.4926,1.7831
2019-09-12,1.4206,1.4306,1.4006,1.4026,89464,0,0.0215,1.4306,1.4768
2019-09-13,1.4146,1.5526,1.4106,1.4466,45982,0,-0.0106,1.5526,1.4613
2019-09-16,1.4026,1.4926,1.4026,1.4266,23990,0,-0.0106,1.4926,1.5362
2019-09-17,1.4846,1.4846,1.3605,1.3906,41983,0,-0.0451,1.4846,1.4768
2019-09-18,1.3405,1.3705,1.3065,1.3525,7997,0,-0.0106,1.3705,1.4176
2019-09-19,1.3405,1.3465,1.2265,1.2645,28489,0,-0.0131,1.3465,1.3561
2019-09-20,1.2825,1.2885,1.2505,1.2725,10996,0,-0.0106,1.2885,1.3289
2019-09-23,1.2685,1.2965,1.2205,1.2505,56477,0,-0.0106,1.2965,1.2749
2019-09-24,1.2925,1.3085,1.1925,1.2065,78968,0,-0.0131,1.3085,1.2828
2019-09-25,1.2725,1.2725,1.2005,1.2005,36485,0,-0.0106,1.2725,1.2914
2019-09-26,1.2725,1.2725,1.0624,1.0724,122951,0,-0.0131,1.2725,1.2591
2019-09-27,1.1244,1.3605,1.1244,1.2505,106957,0,-0.0106,1.3605,1.2559
2019-09-30,1.3826,1.4606,1.1925,1.2325,84466,0,-0.0131,1.4606,1.3462
2019-10-01,1.3065,1.3065,1.2965,1.2965,10996,0,-0.0106,1.3065,1.4415
2019-10-02,1.2885,1.2885,1.0964,1.0964,182927,0,-0.0451,1.2885,1.2927
2019-10-03,1.1905,1.1905,1.0224,1.0364,120952,0,-0.0451,1.1905,1.2303
2019-10-04,1.0404,1.0404,0.7963,0.9484,104458,0,-0.0131,1.0404,1.1367
2019-10-07,0.9804,1.0164,0.8703,0.9784,28988,0,-0.0106,1.0164,1.0268
2019-10-08,0.9084,0.9604,0.8323,0.9124,36985,0,-0.0106,0.9604,1.0057
2019-10-09,0.8804,0.8804,0.8323,0.8623,10496,0,-0.0106,0.8804,0.9502
2019-10-10,0.8423,0.8804,0.6683,0.6903,106457,0,-0.0131,0.8804,0.8711
2019-10-11,0.7283,0.8543,0.7243,0.7603,111955,0,-0.0106,0.8543,0.8688
2019-10-14,0.8363,0.8363,0.7263,0.7323,64974,0,-0.0131,0.8363,0.8453
2019-10-15,0.7323,0.9464,0.7323,0.8223,108956,0,0.0215,0.9464,0.8254
2019-10-16,0.8984,1.0784,0.8303,0.9964,88465,0,0.0215,1.0784,0.9667
2019-10-17,0.9824,1.2205,0.9384,1.1044,84966,0,0.0215,1.2205,1.1016
2019-10-18,1.1865,1.1925,1.1325,1.1885,19992,0,0.0215,1.1925,1.2467
2019-10-21,1.1625,1.3005,1.1605,1.2145,64974,0,-0.0106,1.3005,1.2181
2019-10-22,1.2445,1.2825,1.0824,1.1144,41483,0,-0.0131,1.2825,1.2868
2019-10-23,1.1184,1.2185,1.1184,1.2185,16493,0,0.0215,1.2185,1.2657
2019-10-24,1.2485,1.2485,1.1184,1.2145,30488,0,0.0215,1.2485,1.2447
2019-10-25,1.2045,1.2485,1.2045,1.2445,5498,0,-0.0106,1.2485,1.2754
2019-10-28,1.2985,1.2985,1.2005,1.2205,18493,0,-0.0131,1.2985,1.2353
2019-10-29,1.2725,1.5526,1.2725,1.4366,101459,0,-0.0106,1.5526,1.2815
2019-10-30,1.4206,1.4206,1.2485,1.2485,46481,0,-0.0451,1.4206,1.5362
2019-10-31,1.2285,1.3165,1.2245,1.2245,8747,0,0.0215,1.3165,1.3564
2019-11-01,1.2165,1.2805,1.2165,1.2205,7247,0,-0.0106,1.2805,1.3448
2019-11-04,1.1805,1.2005,1.1805,1.2005,1499,0,0.0215,1.2005,1.267
2019-11-05,1.1845,1.4086,1.1645,1.4086,37235,0,-0.0106,1.4086,1.2263
2019-11-06,1.3205,1.3205,1.0204,1.1525,26989,0,-0.0451,1.3205,1.3937
2019-11-07,1.1445,1.1565,1.1325,1.1365,7247,0,0.0215,1.1565,1.2609
2019-11-08,1.2245,1.2245,1.1365,1.1645,1749,0,-0.0106,1.2245,1.1813
2019-11-11,1.0484,1.1204,1.0484,1.1124,3998,0,0.0215,1.1204,1.2116
2019-11-12,1.1885,1.3806,1.1044,1.2005,24990,0,-0.0106,1.3806,1.1445
2019-11-13,1.1925,1.1925,1.0644,1.0884,5498,0,-0.0131,1.1925,1.366
2019-11-14,1.1244,1.1244,1.1244,1.1244,2249,0,0.0215,1.1244,1.1769
2019-11-15,1.3685,1.3685,1.1244,1.1445,4498,0,-0.0131,1.3685,1.1486
2019-11-18,1.1204,1.2045,1.1164,1.2045,6997,0,-0.0106,1.2045,1.3506
2019-11-19,1.1124,1.1645,1.0404,1.1164,9996,0,0.0215,1.1645,1.1918
2019-11-20,1.1405,1.1405,1.1204,1.1244,5498,0,-0.0106,1.1405,1.1895
2019-11-21,1.0604,1.1084,1.0604,1.0804,3499,0,0.0215,1.1084,1.1284
2019-11-22,1.0604,1.1164,1.0604,1.1164,6997,0,0.0215,1.1164,1.1323
2019-11-25,1.1244,1.1244,1.1204,1.1204,1000,0,0.0215,1.1244,1.1405
2019-11-26,1.1605,1.1605,1.1605,1.1605,5748,0,0.0215,1.1605,1.1486
2019-11-27,1.1605,1.1605,1.1605,1.1605,0,0,-0.0106,1.1605,1.1854
2019-11-29,1.0804,1.0804,1.0804,1.0804,1000,0,-0.0106,1.0804,1.1482
