Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2018-12-26,1.4606,1.4606,1.4606,1.4606,500,0,-0.0115,1.4606,
2018-12-27,1.3445,1.5006,1.3445,1.4626,12995,0,0.0542,1.3445,1.4438
2018-12-28,1.3405,1.3545,1.1265,1.3405,15494,0,-0.0115,1.3405,1.4174
2018-12-31,1.4906,1.4906,1.4906,1.4906,1499,0,-0.0115,1.4906,1.3251
2019-01-02,1.3605,1.4206,1.3605,1.4206,1499,0,0.0542,1.3605,1.4734
2019-01-03,1.4206,1.4206,1.4206,1.4206,0,0,-0.0115,1.4206,1.4343
2019-01-04,1.4046,1.4046,1.4006,1.4006,5998,0,-0.0115,1.4046,1.4042
2019-01-07,1.3505,1.3505,1.3505,1.3505,1499,0,-0.0115,1.3505,1.3884
2019-01-08,1.3505,1.4886,1.3505,1.4006,18493,0,0.0542,1.3505,1.335
2019-01-09,1.3986,1.3986,1.3986,1.3986,3998,0,-0.0115,1.3986,1.4237
2019-01-10,1.3986,1.3986,1.3986,1.3986,0,0,-0.0115,1.3986,1.3824
2019-01-11,1.3285,1.4586,1.3285,1.3285,2499,0,-0.0115,1.3285,1.3824
2019-01-14,1.3285,1.3285,1.3285,1.3285,0,0,-0.0115,1.3285,1.3132
2019-01-17,1.4466,1.4466,1.3065,1.3065,2499,0,-0.0787,1.4466,1.3132
2019-01-18,1.3906,1.3906,1.3906,1.3906,1000,0,-0.0115,1.3906,1.3328
2019-01-22,1.2665,1.2665,1.2665,1.2665,500,0,-0.0115,1.2665,1.3745
2019-01-23,1.2705,1.2705,1.0324,1.1124,12495,0,-0.0787,1.2705,1.2519
2019-01-24,1.1885,1.1885,1.1885,1.1885,1000,0,-0.0115,1.1885,1.1705
2019-01-25,1.3005,1.3946,1.3005,1.3505,47981,0,0.0542,1.3005,1.1748
2019-01-28,1.3505,1.4006,1.3505,1.4006,41983,0,0.0542,1.3505,1.371
2019-01-29,1.4006,1.4006,1.3005,1.3005,24490,0,-0.0787,1.4006,1.4237
2019-01-30,1.3005,1.3005,1.3005,1.3005,500,0,-0.0115,1.3005,1.2904
2019-01-31,1.3505,1.3505,1.3505,1.3505,1499,0,-0.0115,1.3505,1.2855
2019-02-01,1.3505,1.3505,1.3505,1.3505,500,0,-0.0115,1.3505,1.335
2019-02-04,1.3505,1.3505,1.3505,1.3505,500,0,-0.0115,1.3505,1.335
2019-02-07,1.3085,1.3105,1.3005,1.3005,14994,0,-0.0115,1.3085,1.335
2019-02-08,1.3005,1.3005,1.3005,1.3005,500,0,-0.0115,1.3005,1.2934
2019-02-11,1.2285,1.2285,1.2285,1.2285,500,0,-0.0115,1.2285,1.2855
2019-02-12,1.2305,1.2305,1.2005,1.2005,11995,0,-0.0115,1.2305,1.2143
2019-02-13,1.2025,1.2025,1.1345,1.1405,24990,0,-0.0115,1.2025,1.2163
2019-02-14,1.1705,1.1905,1.0424,1.1905,12495,0,-0.0115,1.1705,1.1886
2019-02-15,1.2105,1.2105,1.2105,1.2105,4998,0,-0.0115,1.2105,1.157
2019-02-19,1.1905,1.1905,1.1905,1.1905,500,0,-0.0115,1.1905,1.1965
2019-02-20,1.1905,1.1905,1.1905,1.1905,0,0,-0.0115,1.1905,1.1768
2019-02-21,1.0224,1.2965,1.0104,1.1965,23990,0,0.1377,1.0224,1.1768
2019-02-22,1.2005,1.3005,1.1605,1.1605,2999,0,-0.0115,1.2005,1.1632
2019-02-25,1.1064,1.1625,1.1064,1.1625,2499,0,0.0542,1.1064,1.1866
2019-02-26,1.1605,1.1965,1.1605,1.1965,2499,0,0.0542,1.1605,1.1664
2019-02-27,1.1965,1.1965,1.1965,1.1965,500,0,-0.0115,1.1965,1.2234
2019-02-28,1.1965,1.1965,1.1965,1.1965,500,0,-0.0115,1.1965,1.1827
2019-03-01,1.1365,1.1365,1.0004,1.0004,20992,0,-0.0787,1.1365,1.1827
2019-03-04,1.0004,1.0004,1.0004,1.0004,1000,0,-0.0115,1.0004,1.047
2019-03-05,1.0004,1.0004,1.0004,1.0004,500,0,-0.0115,1.0004,0.9889
2019-03-06,1.1204,1.1204,1.1204,1.1204,500,0,-0.0115,1.1204,0.9889
2019-03-07,1.1204,1.2325,1.1204,1.1204,1499,0,-0.0115,1.1204,1.1075
2019-03-21,1.2925,1.2925,1.1625,1.1625,4998,0,-0.0787,1.2925,1.1075
2019-03-22,1.1625,1.1625,1.1625,1.1625,500,0,-0.0115,1.1625,1.1908
2019-03-25,1.2185,1.2185,1.2185,1.2185,1000,0,-0.0115,1.2185,1.1491
2019-03-26,1.2005,1.2425,1.2005,1.2005,21991,0,-0.0115,1.2005,1.2044
2019-03-27,1.2005,1.2005,1.2005,1.2005,500,0,-0.0115,1.2005,1.1866
2019-03-29,1.2505,1.5206,1.2105,1.2105,18493,0,-0.0115,1.2505,1.1866
2019-04-01,1.0044,1.1004,1.0004,1.1004,7997,0,0.0542,1.0044,1.2361
2019-04-02,1.1465,1.1465,1.1465,1.1465,5498,0,-0.0115,1.1465,1.0588
2019-04-03,1.3005,1.5746,1.3005,1.3665,18493,0,0.0542,1.3005,1.1332
2019-04-04,1.5846,1.6086,1.2025,1.5306,78968,0,-0.0115,1.5846,1.371
2019-04-05,1.6046,1.6046,1.4526,1.4586,13495,0,-0.0787,1.6046,1.5664
2019-04-08,1.4586,1.5926,1.4026,1.4026,22991,0,-0.0115,1.4586,1.4784
2019-04-09,1.5046,1.5306,1.3465,1.4006,40984,0,-0.0787,1.5046,1.4418
2019-04-10,1.3745,1.4646,1.2245,1.2825,19492,0,-0.0787,1.3745,1.3862
2019-04-11,1.3005,1.3005,1.0244,1.2705,10496,0,-0.0115,1.3005,1.2664
2019-04-12,1.1024,1.4566,1.1024,1.2005,8996,0,0.0542,1.1024,1.2855
2019-04-15,1.2005,1.2005,1.2005,1.2005,500,0,-0.0115,1.2005,1.1622
2019-04-16,1.2005,1.2005,1.2005,1.2005,1499,0,-0.0115,1.2005,1.1866
2019-04-17,1.2005,1.2005,1.2005,1.2005,2499,0,-0.0115,1.2005,1.1866
2019-04-18,1.2005,1.2005,1.2005,1.2005,500,0,-0.0115,1.2005,1.1866
2019-04-24,1.2505,1.3786,1.2505,1.3485,7997,0,0.0542,1.2505,1.1866
2019-04-25,1.4106,1.9788,1.4106,1.9068,225910,0,0.2893,1.4106,1.3183
2019-04-26,1.9008,1.9168,1.6206,1.8007,89464,0,-0.0115,1.9008,1.8186
