Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,0.5381,0.5479,0.5358,0.5403,19910400,0,0.0298,0.5403,
2010-03-18,0.5422,0.5475,0.5386,0.5458,26092800,0,-0.0304,0.5458,0.5564
2010-03-19,0.5361,0.5518,0.5304,0.5361,20025600,0,0.0298,0.5361,0.5292
2010-03-22,0.5298,0.557,0.5278,0.5506,29395200,0,0.0298,0.5506,0.5521
2010-03-23,0.5544,0.5633,0.5458,0.5621,27667200,0,-0.0304,0.5621,0.567
2010-03-24,0.5581,0.5593,0.5506,0.5541,44620800,0,1e-04,0.5541,0.545
2010-03-25,0.5676,0.5736,0.5502,0.5506,46963200,0,1e-04,0.5506,0.5542
2010-03-26,0.5585,0.5641,0.5448,0.5535,42144000,0,0.0298,0.5535,0.5507
2010-03-29,0.5619,0.5668,0.557,0.5611,19027200,0,0.0298,0.5611,0.57
2010-03-30,0.5657,0.5719,0.5555,0.567,19948800,0,-0.0304,0.567,0.5778
2010-03-31,0.5607,0.5682,0.5555,0.5593,29779200,0,1e-04,0.5593,0.5498
2010-04-01,0.5656,0.5764,0.5457,0.5582,58310400,0,0.0298,0.5582,0.5594
2010-04-05,0.5623,0.5778,0.5581,0.5744,33792000,0,1e-04,0.5744,0.5749
2010-04-06,0.57,0.584,0.5664,0.5788,29356800,0,1e-04,0.5788,0.5744
2010-04-07,0.5768,0.5831,0.5654,0.5755,53126400,0,1e-04,0.5755,0.5788
2010-04-08,0.5697,0.5809,0.561,0.5775,34828800,0,0.0298,0.5775,0.5755
2010-04-09,0.5795,0.5894,0.575,0.588,29049600,0,1e-04,0.588,0.5948
2010-04-12,0.59,0.5948,0.5861,0.5903,24403200,0,0.0298,0.5903,0.588
2010-04-13,0.5884,0.6002,0.5831,0.5992,33619200,0,0.0298,0.5992,0.6079
2010-04-14,0.6078,0.6208,0.6065,0.6203,30547200,0,0.0298,0.6203,0.6171
2010-04-15,0.6197,0.631,0.6191,0.6286,22886400,0,-0.0304,0.6286,0.6388
2010-04-16,0.622,0.6281,0.5946,0.6063,64742400,0,1e-04,0.6063,0.6095
2010-04-19,0.6006,0.6108,0.5833,0.6053,56371200,0,0.0298,0.6053,0.6063
2010-04-20,0.6147,0.6185,0.6032,0.6143,28051200,0,0.0298,0.6143,0.6233
2010-04-21,0.6267,0.6304,0.6135,0.6251,41990400,0,0.0298,0.6251,0.6326
2010-04-22,0.6068,0.6364,0.5965,0.6343,61420800,0,0.0298,0.6343,0.6437
2010-04-23,0.6349,0.6447,0.6274,0.6427,41184000,0,1e-04,0.6427,0.6532
2010-04-26,0.6432,0.648,0.6348,0.6379,40262400,0,-0.0304,0.6379,0.6428
2010-04-27,0.6318,0.6385,0.5933,0.5986,66873600,0,0.0009,0.5986,0.6185
2010-04-28,0.6078,0.6084,0.5854,0.6,62534400,0,0.0298,0.6,0.5991
2010-04-29,0.6083,0.6336,0.6083,0.6306,42374400,0,-0.0401,0.6306,0.6179
2010-04-30,0.6296,0.6326,0.5919,0.5934,44256000,0,0.0298,0.5934,0.6053
2010-05-03,0.6004,0.6266,0.6002,0.6177,26304000,0,-0.0401,0.6177,0.6111
2010-05-04,0.5943,0.5943,0.5496,0.5631,68620800,0,-0.0401,0.5631,0.5929
2010-05-05,0.5454,0.5637,0.535,0.5538,69254400,0,-0.0401,0.5538,0.5405
