Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,0.5381,0.5479,0.5358,0.5403,19910400,0,0.009,0.5358,
2010-03-18,0.5422,0.5475,0.5386,0.5458,26092800,0,-0.0247,0.5386,0.5406
2010-03-19,0.5361,0.5518,0.5304,0.5361,20025600,0,0.009,0.5304,0.5253
2010-03-22,0.5298,0.557,0.5278,0.5506,29395200,0,0.0465,0.5278,0.5351
2010-03-23,0.5544,0.5633,0.5458,0.5621,27667200,0,-0.01,0.5458,0.5524
2010-03-24,0.5581,0.5593,0.5506,0.5541,44620800,0,-0.0068,0.5506,0.5403
2010-03-25,0.5676,0.5736,0.5502,0.5506,46963200,0,-0.0084,0.5502,0.5468
2010-03-26,0.5585,0.5641,0.5448,0.5535,42144000,0,0.0301,0.5448,0.5455
2010-03-29,0.5619,0.5668,0.557,0.5611,19027200,0,0.0142,0.557,0.5612
2010-03-30,0.5657,0.5719,0.5555,0.567,19948800,0,-0.0269,0.5555,0.5649
2010-03-31,0.5607,0.5682,0.5555,0.5593,29779200,0,-0.0069,0.5555,0.5405
2010-04-01,0.5656,0.5764,0.5457,0.5582,58310400,0,0.008,0.5457,0.5517
2010-04-05,0.5623,0.5778,0.5581,0.5744,33792000,0,0.0193,0.5581,0.5501
2010-04-06,0.57,0.584,0.5664,0.5788,29356800,0,0.0077,0.5664,0.5689
2010-04-07,0.5768,0.5831,0.5654,0.5755,53126400,0,-0.0069,0.5654,0.5708
2010-04-08,0.5697,0.5809,0.561,0.5775,34828800,0,0.031,0.561,0.5615
2010-04-09,0.5795,0.5894,0.575,0.588,29049600,0,0.0077,0.575,0.5783
2010-04-12,0.59,0.5948,0.5861,0.5903,24403200,0,0.0093,0.5861,0.5794
2010-04-13,0.5884,0.6002,0.5831,0.5992,33619200,0,0.0173,0.5831,0.5915
2010-04-14,0.6078,0.6208,0.6065,0.6203,30547200,0,0.0326,0.6065,0.5932
2010-04-15,0.6197,0.631,0.6191,0.6286,22886400,0,-0.0331,0.6191,0.6263
2010-04-16,0.622,0.6281,0.5946,0.6063,64742400,0,-0.0084,0.5946,0.5987
2010-04-19,0.6006,0.6108,0.5833,0.6053,56371200,0,0.0334,0.5833,0.5896
2010-04-20,0.6147,0.6185,0.6032,0.6143,28051200,0,0.0161,0.6032,0.6028
2010-04-21,0.6267,0.6304,0.6135,0.6251,41990400,0,0.0062,0.6135,0.6129
2010-04-22,0.6068,0.6364,0.5965,0.6343,61420800,0,0.0519,0.5965,0.6173
2010-04-23,0.6349,0.6447,0.6274,0.6427,41184000,0,0.0058,0.6274,0.6274
2010-04-26,0.6432,0.648,0.6348,0.6379,40262400,0,-0.034,0.6348,0.6311
2010-04-27,0.6318,0.6385,0.5933,0.5986,66873600,0,-0.0084,0.5933,0.6132
2010-04-28,0.6078,0.6084,0.5854,0.6,62534400,0,0.0295,0.5854,0.5883
2010-04-29,0.6083,0.6336,0.6083,0.6306,42374400,0,-0.0067,0.6083,0.6027
2010-04-30,0.6296,0.6326,0.5919,0.5934,44256000,0,0.0065,0.5919,0.6042
2010-05-03,0.6004,0.6266,0.6002,0.6177,26304000,0,-0.0356,0.6002,0.5958
2010-05-04,0.5943,0.5943,0.5496,0.5631,68620800,0,-0.0417,0.5496,0.5789
2010-05-05,0.5454,0.5637,0.535,0.5538,69254400,0,-0.103,0.535,0.5267
2010-05-06,0.5424,0.558,0.3419,0.4996,108902400,0,0.0651,0.3419,0.4799
2010-05-07,0.4863,0.5045,0.431,0.4632,124128000,0,0.0565,0.431,0.3642
2010-05-10,0.5217,0.5339,0.5188,0.5323,94636800,0,-0.0007,0.5188,0.4553
2010-05-11,0.5173,0.5531,0.5142,0.5319,73516800,0,0.071,0.5142,0.5184
2010-05-12,0.5392,0.5618,0.5372,0.5606,54278400,0,-0.0068,0.5372,0.5508
2010-05-13,0.5552,0.5669,0.5319,0.5353,52780800,0,-0.082,0.5319,0.5336
2010-05-14,0.5221,0.5228,0.4852,0.5023,77088000,0,0.0055,0.4852,0.4883
2010-05-17,0.5072,0.5147,0.4767,0.5091,68428800,0,-0.0149,0.4767,0.4879
2010-05-18,0.5215,0.5245,0.4807,0.4897,95308800,0,-0.0385,0.4807,0.4696
2010-05-19,0.4812,0.4928,0.4597,0.4767,118886400,0,-0.0784,0.4597,0.4622
2010-05-20,0.4479,0.4511,0.4196,0.4285,136492800,0,-0.0393,0.4196,0.4237
2010-05-21,0.4024,0.4452,0.3981,0.4318,117158400,0,0.0747,0.3981,0.4031
2010-05-24,0.4342,0.4503,0.4304,0.4354,77510400,0,-0.0383,0.4304,0.4279
2010-05-25,0.4031,0.4337,0.3902,0.4323,86323200,0,0.0154,0.3902,0.4139
2010-05-26,0.439,0.4571,0.4157,0.419,104160000,0,0.0565,0.4157,0.3962
2010-05-27,0.4469,0.4655,0.4432,0.4643,86611200,0,-0.0007,0.4432,0.4392
2010-05-28,0.4674,0.4687,0.445,0.4578,83347200,0,-0.0114,0.445,0.4429
