Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-03-17,0.5531,0.5632,0.5508,0.5554,19910400,0,0.0072,0.5531,
2010-03-18,0.5573,0.5627,0.5536,0.561,26092800,0,-0.0077,0.5573,0.5571
2010-03-19,0.5511,0.5671,0.5452,0.5511,20025600,0,-0.0004,0.5511,0.553
2010-03-22,0.5446,0.5726,0.5425,0.566,29395200,0,0.0455,0.5446,0.5508
2010-03-23,0.5698,0.579,0.561,0.5778,27667200,0,0.0089,0.5698,0.5694
2010-03-24,0.5737,0.5749,0.566,0.5696,44620800,0,-0.0012,0.5737,0.5749
2010-03-25,0.5835,0.5896,0.5655,0.566,46963200,0,-0.0224,0.5835,0.573
2010-03-26,0.5741,0.5799,0.56,0.5689,42144000,0,-0.0063,0.5741,0.5704
2010-03-29,0.5775,0.5826,0.5725,0.5768,19027200,0,0.0068,0.5775,0.5705
2010-03-30,0.5815,0.5878,0.571,0.5828,19948800,0,-0.0059,0.5815,0.5814
2010-03-31,0.5763,0.584,0.571,0.5749,29779200,0,-0.0005,0.5763,0.5781
2010-04-01,0.5814,0.5925,0.5609,0.5738,58310400,0,-0.0071,0.5814,0.576
2010-04-05,0.578,0.5939,0.5737,0.5904,33792000,0,0.0191,0.578,0.5772
2010-04-06,0.5859,0.6003,0.5822,0.5949,29356800,0,0.0116,0.5859,0.5891
2010-04-07,0.5929,0.5993,0.5812,0.5915,53126400,0,-0.0007,0.5929,0.5927
2010-04-08,0.5855,0.5971,0.5766,0.5937,34828800,0,0.0231,0.5855,0.5925
2010-04-09,0.5956,0.6058,0.591,0.6044,29049600,0,0.0116,0.5956,0.5991
2010-04-12,0.6064,0.6114,0.6024,0.6068,24403200,0,0.0072,0.6064,0.6025
2010-04-13,0.6048,0.6169,0.5993,0.6159,33619200,0,0.0271,0.6048,0.6108
2010-04-14,0.6247,0.6382,0.6234,0.6376,30547200,0,0.0271,0.6247,0.6212
2010-04-15,0.637,0.6485,0.6364,0.6462,22886400,0,0.0045,0.637,0.6416
2010-04-16,0.6393,0.6456,0.6112,0.6232,64742400,0,-0.027,0.6393,0.6399
2010-04-19,0.6173,0.6279,0.5995,0.6222,56371200,0,0.0216,0.6173,0.6221
2010-04-20,0.6318,0.6357,0.62,0.6314,28051200,0,0.0072,0.6318,0.6307
2010-04-21,0.6442,0.648,0.6306,0.6425,41990400,0,0.0059,0.6442,0.6364
2010-04-22,0.6237,0.6542,0.6131,0.652,61420800,0,0.047,0.6237,0.648
2010-04-23,0.6526,0.6627,0.6449,0.6606,41184000,0,0.0114,0.6526,0.653
2010-04-26,0.6611,0.6661,0.6525,0.6557,40262400,0,-0.024,0.6611,0.66
2010-04-27,0.6494,0.6563,0.6099,0.6153,66873600,0,-0.0563,0.6494,0.6452
2010-04-28,0.6247,0.6253,0.6018,0.6167,62534400,0,-0.0071,0.6247,0.6128
2010-04-29,0.6253,0.6513,0.6252,0.6482,42374400,0,0.0387,0.6253,0.6203
2010-04-30,0.6472,0.6502,0.6084,0.61,44256000,0,-0.0563,0.6472,0.6495
2010-05-03,0.6171,0.6441,0.617,0.6349,26304000,0,0.0309,0.6171,0.6108
2010-05-04,0.6109,0.6109,0.565,0.5788,68620800,0,-0.0563,0.6109,0.6362
