Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-08-02,1.3667,1.398,1.3553,1.3947,10771500,0,0.0282,1.3947,
2010-08-03,1.4,1.4633,1.388,1.4633,18457500,0,-0.0291,1.4633,1.4339
2010-08-04,1.4633,1.4787,1.39,1.4173,13695000,0,-0.0323,1.4173,1.4208
2010-08-05,1.436,1.4367,1.3367,1.3633,11943000,0,-0.032,1.3633,1.3716
2010-08-06,1.34,1.344,1.3013,1.306,11128500,0,0.0002,1.306,1.3198
2010-08-09,1.3267,1.332,1.2967,1.3067,12190500,0,-0.0318,1.3067,1.3062
2010-08-10,1.31,1.31,1.2547,1.2687,19219500,0,-0.0428,1.2687,1.2652
2010-08-11,1.246,1.2587,1.19,1.1933,11964000,0,-0.0291,1.1933,1.2144
2010-08-12,1.1867,1.1933,1.1593,1.1733,10365000,0,0.0282,1.1733,1.1587
2010-08-13,1.212,1.23,1.1773,1.2213,9510000,0,0.0282,1.2213,1.2064
2010-08-16,1.23,1.2533,1.2173,1.252,7287000,0,0.0282,1.252,1.2557
2010-08-17,1.264,1.2933,1.252,1.2767,6718500,0,-0.0351,1.2767,1.2872
2010-08-18,1.306,1.306,1.24,1.2513,9019500,0,0.0013,1.2513,1.2319
2010-08-19,1.236,1.2833,1.222,1.2527,8686500,0,0.0282,1.2527,1.253
2010-08-20,1.2433,1.274,1.234,1.2733,4440000,0,0.0282,1.2733,1.2879
2010-08-23,1.2727,1.3593,1.2667,1.342,16321500,0,-0.0396,1.342,1.3092
2010-08-24,1.2833,1.314,1.2633,1.28,10096500,0,0.0282,1.28,1.2889
2010-08-25,1.2773,1.332,1.2373,1.3267,7549500,0,0.0011,1.3267,1.316
2010-08-26,1.326,1.3513,1.3067,1.3167,6507000,0,0.0013,1.3167,1.3281
2010-08-27,1.3167,1.3247,1.3,1.3133,5694000,0,0.0013,1.3133,1.3184
2010-08-30,1.3133,1.346,1.3073,1.3247,10992000,0,-0.0239,1.3247,1.315
2010-08-31,1.3107,1.3193,1.2887,1.2987,3016500,0,0.0282,1.2987,1.2931
2010-09-01,1.308,1.3793,1.3067,1.3633,7423500,0,0.0282,1.3633,1.3352
2010-09-02,1.358,1.416,1.354,1.404,7306500,0,0.0013,1.404,1.4017
2010-09-03,1.3913,1.42,1.3773,1.4033,6519000,0,-0.0288,1.4033,1.4058
2010-09-07,1.374,1.4,1.3667,1.3693,3651000,0,0.0298,1.3693,1.3629
2010-09-08,1.3773,1.3967,1.3733,1.3933,4326000,0,0.0013,1.3933,1.4101
2010-09-09,1.4,1.4033,1.3793,1.3807,5643000,0,-0.0288,1.3807,1.3951
2010-09-10,1.3833,1.3953,1.3173,1.3447,5799000,0,0.0282,1.3447,1.3408
2010-09-13,1.3927,1.3933,1.3667,1.3813,5412000,0,0.0282,1.3813,1.3825
2010-09-14,1.3693,1.44,1.3687,1.408,9820500,0,0.0282,1.408,1.4202
2010-09-15,1.3987,1.4667,1.386,1.4653,10269000,0,-0.0291,1.4653,1.4476
2010-09-16,1.4767,1.544,1.3893,1.396,40267500,0,-0.0356,1.396,1.4228
2010-09-17,1.4013,1.4213,1.32,1.3487,17977500,0,0.0413,1.3487,1.3463
2010-09-20,1.378,1.4233,1.344,1.404,14212500,0,-0.0317,1.404,1.4044
2010-09-21,1.3927,1.4367,1.378,1.3847,11940000,0,-0.0309,1.3847,1.3595
2010-09-22,1.3913,1.3967,1.32,1.3247,14443500,0,-0.0291,1.3247,1.3419
2010-09-23,1.326,1.3427,1.3,1.304,10021500,0,0.0282,1.304,1.2862
2010-09-24,1.33,1.346,1.31,1.34,8683500,0,0.0282,1.34,1.3407
2010-09-27,1.36,1.3873,1.3367,1.3687,6279000,0,0.0282,1.3687,1.3777
2010-09-28,1.4027,1.4327,1.384,1.4267,18217500,0,0.0282,1.4267,1.4072
2010-09-29,1.4127,1.4687,1.4087,1.4653,29539500,0,-0.0288,1.4653,1.4668
2010-09-30,1.4667,1.4767,1.346,1.3607,32937000,0,0.0013,1.3607,1.4231
2010-10-01,1.3793,1.3833,1.354,1.3733,8965500,0,0.0282,1.3733,1.3624
2010-10-04,1.362,1.4113,1.3533,1.3993,9654000,0,0.0015,1.3993,1.412
2010-10-05,1.41,1.4187,1.4007,1.408,4980000,0,-0.0288,1.408,1.4014
2010-10-06,1.404,1.4173,1.3547,1.364,4701000,0,0.0013,1.364,1.3674
2010-10-07,1.3713,1.376,1.356,1.362,2115000,0,0.0013,1.362,1.3658
2010-10-08,1.362,1.386,1.3593,1.362,4017000,0,0.0002,1.362,1.3638
2010-10-11,1.3627,1.38,1.338,1.3493,2568000,0,0.0013,1.3493,1.3622
2010-10-12,1.3467,1.352,1.3353,1.3493,3660000,0,0.0282,1.3493,1.3511
2010-10-13,1.376,1.39,1.3573,1.3693,4773000,0,0.0282,1.3693,1.3873
2010-10-14,1.4,1.402,1.36,1.3833,4422000,0,-0.0288,1.3833,1.4079
2010-10-15,1.3927,1.3933,1.35,1.3693,4270500,0,-0.0318,1.3693,1.3434
2010-10-18,1.368,1.376,1.348,1.3487,2442000,0,0.0013,1.3487,1.3259
2010-10-19,1.3467,1.3607,1.3333,1.3367,3678000,0,0.0282,1.3367,1.3504
2010-10-20,1.344,1.3793,1.336,1.3767,4687500,0,0.0013,1.3767,1.3743
2010-10-21,1.374,1.3967,1.3633,1.3833,6256500,0,0.0013,1.3833,1.3785
2010-10-22,1.3787,1.3953,1.37,1.3813,2416500,0,0.0013,1.3813,1.3851
2010-10-25,1.396,1.3987,1.382,1.39,1777500,0,0.0282,1.39,1.3831
2010-10-26,1.3867,1.458,1.3673,1.424,9913500,0,-0.032,1.424,1.4291
2010-10-27,1.4167,1.4253,1.3767,1.4,5347500,0,0.0013,1.4,1.3785
2010-10-28,1.426,1.4333,1.3973,1.4127,3363000,0,0.0282,1.4127,1.4018
2010-10-29,1.4093,1.4567,1.4033,1.456,4209000,0,-0.0239,1.456,1.4524
2010-11-01,1.4627,1.5167,1.4207,1.4273,6837000,0,0.0011,1.4273,1.4213
2010-11-02,1.4453,1.4587,1.4033,1.4167,4837500,0,0.0282,1.4167,1.4289
2010-11-03,1.4187,1.5,1.4107,1.4513,5589000,0,0.0413,1.4513,1.4565
2010-11-04,1.5067,1.6887,1.4767,1.66,28110000,0,-0.0291,1.66,1.5113
2010-11-05,1.658,1.6647,1.5813,1.6293,15165000,0,0.0282,1.6293,1.6118
2010-11-08,1.6333,1.6667,1.602,1.6653,7642500,0,-0.0239,1.6653,1.6752
2010-11-09,1.6667,1.7127,1.6033,1.642,14346000,0,0.0413,1.642,1.6256
2010-11-10,1.632,1.998,1.6033,1.9573,45907500,0,-0.0309,1.9573,1.7098
2010-11-11,1.9067,1.94,1.822,1.8693,29179500,0,0.0413,1.8693,1.8969
2010-11-12,1.8833,2.0333,1.8713,1.9893,40936500,0,0.0406,1.9893,1.9466
2010-11-15,2.0147,2.196,2.0147,2.0533,39343500,0,-0.0241,2.0533,2.0702
2010-11-16,2.0667,2.0933,1.8947,1.978,20214000,0,0.0017,1.978,2.0039
2010-11-17,2.0133,2.05,1.9073,1.966,11250000,0,0.0406,1.966,1.9815
2010-11-18,2.0447,2.0493,1.928,1.9927,14341500,0,0.0413,1.9927,2.0459
