Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-08-02,1.3667,1.398,1.3553,1.3947,10771500,0,0.0234,1.3553,
2010-08-03,1.4,1.4633,1.388,1.4633,18457500,0,0.0009,1.388,1.387
2010-08-04,1.4633,1.4787,1.39,1.4173,13695000,0,-0.0364,1.39,1.3893
2010-08-05,1.436,1.4367,1.3367,1.3633,11943000,0,-0.0336,1.3367,1.3395
2010-08-06,1.34,1.344,1.3013,1.306,11128500,0,-0.0027,1.3013,1.2918
2010-08-09,1.3267,1.332,1.2967,1.3067,12190500,0,-0.0319,1.2967,1.2979
2010-08-10,1.31,1.31,1.2547,1.2687,19219500,0,-0.0336,1.2547,1.2553
2010-08-11,1.246,1.2587,1.19,1.1933,11964000,0,-0.0336,1.19,1.2125
2010-08-12,1.1867,1.1933,1.1593,1.1733,10365000,0,0.0116,1.1593,1.15
2010-08-13,1.212,1.23,1.1773,1.2213,9510000,0,0.0222,1.1773,1.1728
2010-08-16,1.23,1.2533,1.2173,1.252,7287000,0,0.024,1.2173,1.2034
2010-08-17,1.264,1.2933,1.252,1.2767,6718500,0,-0.0199,1.252,1.2465
2010-08-18,1.306,1.306,1.24,1.2513,9019500,0,-0.0027,1.24,1.227
2010-08-19,1.236,1.2833,1.222,1.2527,8686500,0,0.0223,1.222,1.2367
2010-08-20,1.2433,1.274,1.234,1.2733,4440000,0,0.024,1.234,1.2493
2010-08-23,1.2727,1.3593,1.2667,1.342,16321500,0,0.0165,1.2667,1.2636
2010-08-24,1.2833,1.314,1.2633,1.28,10096500,0,0.0116,1.2633,1.2876
2010-08-25,1.2773,1.332,1.2373,1.3267,7549500,0,0.0575,1.2373,1.278
2010-08-26,1.326,1.3513,1.3067,1.3167,6507000,0,-0.0027,1.3067,1.3085
2010-08-27,1.3167,1.3247,1.3,1.3133,5694000,0,-0.0003,1.3,1.3032
2010-08-30,1.3133,1.346,1.3073,1.3247,10992000,0,-0.0204,1.3073,1.2997
2010-08-31,1.3107,1.3193,1.2887,1.2987,3016500,0,0.0114,1.2887,1.2807
2010-09-01,1.308,1.3793,1.3067,1.3633,7423500,0,0.0374,1.3067,1.3033
2010-09-02,1.358,1.416,1.354,1.404,7306500,0,0.0265,1.354,1.3555
2010-09-03,1.3913,1.42,1.3773,1.4033,6519000,0,-0.0207,1.3773,1.3898
2010-09-07,1.374,1.4,1.3667,1.3693,3651000,0,0.0114,1.3667,1.3489
2010-09-08,1.3773,1.3967,1.3733,1.3933,4326000,0,0.0098,1.3733,1.3822
2010-09-09,1.4,1.4033,1.3793,1.3807,5643000,0,-0.05,1.3793,1.3868
2010-09-10,1.3833,1.3953,1.3173,1.3447,5799000,0,0.0123,1.3173,1.3104
2010-09-13,1.3927,1.3933,1.3667,1.3813,5412000,0,0.0114,1.3667,1.3335
2010-09-14,1.3693,1.44,1.3687,1.408,9820500,0,0.0244,1.3687,1.3822
2010-09-15,1.3987,1.4667,1.386,1.4653,10269000,0,0.0017,1.386,1.402
2010-09-16,1.4767,1.544,1.3893,1.396,40267500,0,-0.0336,1.3893,1.3884
2010-09-17,1.4013,1.4213,1.32,1.3487,17977500,0,0.0123,1.32,1.3427
2010-09-20,1.378,1.4233,1.344,1.404,14212500,0,-0.0011,1.344,1.3362
2010-09-21,1.3927,1.4367,1.378,1.3847,11940000,0,-0.0328,1.378,1.3425
2010-09-22,1.3913,1.3967,1.32,1.3247,14443500,0,-0.0336,1.32,1.3328
2010-09-23,1.326,1.3427,1.3,1.304,10021500,0,0.0114,1.3,1.2757
2010-09-24,1.33,1.346,1.31,1.34,8683500,0,0.0209,1.31,1.3148
2010-09-27,1.36,1.3873,1.3367,1.3687,6279000,0,0.0114,1.3367,1.3373
2010-09-28,1.4027,1.4327,1.384,1.4267,18217500,0,0.0218,1.384,1.3519
2010-09-29,1.4127,1.4687,1.4087,1.4653,29539500,0,-0.0019,1.4087,1.4141
2010-09-30,1.4667,1.4767,1.346,1.3607,32937000,0,-0.0018,1.346,1.406
2010-10-01,1.3793,1.3833,1.354,1.3733,8965500,0,0.0114,1.354,1.3436
2010-10-04,1.362,1.4113,1.3533,1.3993,9654000,0,0.015,1.3533,1.3695
2010-10-05,1.41,1.4187,1.4007,1.408,4980000,0,-0.0204,1.4007,1.3736
2010-10-06,1.404,1.4173,1.3547,1.364,4701000,0,-0.0027,1.3547,1.3721
2010-10-07,1.3713,1.376,1.356,1.362,2115000,0,-0.0021,1.356,1.351
2010-10-08,1.362,1.386,1.3593,1.362,4017000,0,-0.0004,1.3593,1.3532
2010-10-11,1.3627,1.38,1.338,1.3493,2568000,0,-0.0019,1.338,1.3588
2010-10-12,1.3467,1.352,1.3353,1.3493,3660000,0,0.0116,1.3353,1.3355
2010-10-13,1.376,1.39,1.3573,1.3693,4773000,0,0.0114,1.3573,1.3508
2010-10-14,1.4,1.402,1.36,1.3833,4422000,0,-0.0328,1.36,1.3728
2010-10-15,1.3927,1.3933,1.35,1.3693,4270500,0,-0.0328,1.35,1.3154
2010-10-18,1.368,1.376,1.348,1.3487,2442000,0,-0.0019,1.348,1.3057
2010-10-19,1.3467,1.3607,1.3333,1.3367,3678000,0,0.0116,1.3333,1.3454
2010-10-20,1.344,1.3793,1.336,1.3767,4687500,0,0.0146,1.336,1.3488
2010-10-21,1.374,1.3967,1.3633,1.3833,6256500,0,-1e-04,1.3633,1.3555
2010-10-22,1.3787,1.3953,1.37,1.3813,2416500,0,-1e-04,1.37,1.3632
2010-10-25,1.396,1.3987,1.382,1.39,1777500,0,0.0114,1.382,1.3699
2010-10-26,1.3867,1.458,1.3673,1.424,9913500,0,0.0017,1.3673,1.3978
2010-10-27,1.4167,1.4253,1.3767,1.4,5347500,0,-0.0027,1.3767,1.3697
2010-10-28,1.426,1.4333,1.3973,1.4127,3363000,0,0.0114,1.3973,1.373
2010-10-29,1.4093,1.4567,1.4033,1.456,4209000,0,0.0009,1.4033,1.4132
2010-11-01,1.4627,1.5167,1.4207,1.4273,6837000,0,-0.0027,1.4207,1.4047
2010-11-02,1.4453,1.4587,1.4033,1.4167,4837500,0,0.0114,1.4033,1.4169
2010-11-03,1.4187,1.5,1.4107,1.4513,5589000,0,0.0309,1.4107,1.4193
2010-11-04,1.5067,1.6887,1.4767,1.66,28110000,0,0.076,1.4767,1.4542
2010-11-05,1.658,1.6647,1.5813,1.6293,15165000,0,0.0114,1.5813,1.5889
2010-11-08,1.6333,1.6667,1.602,1.6653,7642500,0,-0.0019,1.602,1.5993
2010-11-09,1.6667,1.7127,1.6033,1.642,14346000,0,0.0114,1.6033,1.5989
2010-11-10,1.632,1.998,1.6033,1.9573,45907500,0,0.0886,1.6033,1.6216
2010-11-11,1.9067,1.94,1.822,1.8693,29179500,0,0.0114,1.822,1.7454
2010-11-12,1.8833,2.0333,1.8713,1.9893,40936500,0,0.0575,1.8713,1.8427
2010-11-15,2.0147,2.196,2.0147,2.0533,39343500,0,-0.0029,2.0147,1.9789
2010-11-16,2.0667,2.0933,1.8947,1.978,20214000,0,-0.0018,1.8947,2.0089
2010-11-17,2.0133,2.05,1.9073,1.966,11250000,0,0.0114,1.9073,1.8913
2010-11-18,2.0447,2.0493,1.928,1.9927,14341500,0,0.0114,1.928,1.929
2010-11-19,2.0107,2.0913,1.98,2.066,17257500,0,0.023,1.98,1.9499
2010-11-22,2.1047,2.23,2.1,2.2267,22945500,0,0.0421,2.1,2.0255
2010-11-23,2.2193,2.3787,2.146,2.3047,23667000,0,0.0566,2.146,2.1883
2010-11-24,2.3513,2.398,2.2887,2.3647,21375000,0,-0.0004,2.2887,2.2675
2010-11-26,2.3733,2.4,2.3167,2.3547,5259000,0,-0.0328,2.3167,2.2877
2010-11-29,2.3607,2.3967,2.222,2.2887,17184000,0,0.0114,2.222,2.2407
2010-11-30,2.2493,2.3553,2.2273,2.3553,33339000,0,-0.0019,2.2273,2.2472
2010-12-01,2.3913,2.428,2.23,2.29,19488000,0,-0.0373,2.23,2.2231
2010-12-02,2.2673,2.2867,2.08,2.1567,30105000,0,-0.0336,2.08,2.1469
2010-12-03,2.134,2.15,2.058,2.0993,17401500,0,-0.0356,2.058,2.0101
2010-12-06,2.09,2.0967,1.9707,2.0207,19116000,0,0.0114,1.9707,1.9848
2010-12-07,2.0327,2.16,2.0033,2.104,19669500,0,0.0563,2.0033,1.9931
2010-12-08,2.1653,2.166,2.1013,2.158,9900000,0,-0.0004,2.1013,2.1162
2010-12-09,2.1673,2.1813,2.11,2.1367,6090000,0,-0.0328,2.11,2.1005
2010-12-10,2.1367,2.1947,2.0753,2.1013,6441000,0,-0.0356,2.0753,2.0408
2010-12-13,2.1093,2.118,2.0267,2.0367,6156000,0,-0.0336,2.0267,2.0015
2010-12-14,2.0193,2.026,1.8507,1.902,26485500,0,0.0114,1.8507,1.9586
2010-12-15,1.9113,1.998,1.902,1.9733,11143500,0,0.0374,1.902,1.8717
2010-12-16,2.0,2.0607,1.9767,2.054,11851500,0,0.0244,1.9767,1.9731
2010-12-17,2.0893,2.1027,2.0473,2.0907,12195000,0,0.0114,2.0473,2.0248
2010-12-20,2.1093,2.146,2.084,2.1133,7851000,0,0.0114,2.084,2.0707
2010-12-21,2.12,2.1793,2.114,2.1507,11665500,0,0.0218,2.114,2.1078
2010-12-22,2.15,2.1907,2.1133,2.1753,12499500,0,-0.0391,2.1133,2.16
2010-12-23,2.084,2.1653,1.9947,2.006,23289000,0,-0.0336,1.9947,2.0308
2010-12-27,1.868,1.9053,1.6707,1.7033,139528500,0,0.0123,1.6707,1.9277
2010-12-28,1.7233,1.7833,1.6667,1.7607,60844500,0,0.0309,1.6667,1.6912
2010-12-29,1.802,1.8673,1.7667,1.8487,49788000,0,-0.0019,1.7667,1.7181
2010-12-30,1.8467,1.86,1.7587,1.7667,30616500,0,-0.0027,1.7587,1.7633
2010-12-31,1.7713,1.8167,1.7667,1.7753,21268500,0,-0.0004,1.7667,1.754
2011-01-03,1.7893,1.8,1.7267,1.7747,19245000,0,-0.0019,1.7267,1.766
2011-01-04,1.7773,1.7967,1.7347,1.778,17811000,0,-0.0004,1.7347,1.7234
2011-01-05,1.7653,1.7933,1.746,1.7887,21700500,0,0.0218,1.746,1.734
2011-01-06,1.7887,1.8667,1.7873,1.8587,30918000,0,0.0374,1.7873,1.784
2011-01-07,1.8667,1.9053,1.86,1.8827,33718500,0,0.0098,1.86,1.8542
2011-01-10,1.878,1.912,1.87,1.8967,20140500,0,-0.0226,1.87,1.8783
2011-01-11,1.906,1.914,1.7947,1.7973,25653000,0,-0.0027,1.7947,1.8277
2011-01-12,1.8007,1.8267,1.768,1.7973,14466000,0,-0.0196,1.768,1.7899
