Date,Open,High,Low,Close,Volume,openinterest,predict,target_price,predict_price
2010-08-02,1.3667,1.398,1.3553,1.3947,10771500,0,0.0168,1.3667,
2010-08-03,1.4,1.4633,1.388,1.4633,18457500,0,0.0444,1.4,1.3896
2010-08-04,1.4633,1.4787,1.39,1.4173,13695000,0,-0.0191,1.4633,1.4621
2010-08-05,1.436,1.4367,1.3367,1.3633,11943000,0,-0.0506,1.436,1.4354
2010-08-06,1.34,1.344,1.3013,1.306,11128500,0,-0.0245,1.34,1.3633
2010-08-09,1.3267,1.332,1.2967,1.3067,12190500,0,-0.0165,1.3267,1.3071
2010-08-10,1.31,1.31,1.2547,1.2687,19219500,0,-0.0245,1.31,1.3047
2010-08-11,1.246,1.2587,1.19,1.1933,11964000,0,-0.0506,1.246,1.2778
2010-08-12,1.1867,1.1933,1.1593,1.1733,10365000,0,-0.0034,1.1867,1.1829
2010-08-13,1.212,1.23,1.1773,1.2213,9510000,0,0.0167,1.212,1.1827
2010-08-16,1.23,1.2533,1.2173,1.252,7287000,0,0.0169,1.23,1.2322
2010-08-17,1.264,1.2933,1.252,1.2767,6718500,0,0.0091,1.264,1.2507
2010-08-18,1.306,1.306,1.24,1.2513,9019500,0,-0.0499,1.306,1.2755
2010-08-19,1.236,1.2833,1.222,1.2527,8686500,0,0.0167,1.236,1.2408
2010-08-20,1.2433,1.274,1.234,1.2733,4440000,0,0.029,1.2433,1.2567
2010-08-23,1.2727,1.3593,1.2667,1.342,16321500,0,0.0447,1.2727,1.2793
2010-08-24,1.2833,1.314,1.2633,1.28,10096500,0,0.0037,1.2833,1.3295
2010-08-25,1.2773,1.332,1.2373,1.3267,7549500,0,0.0447,1.2773,1.2881
2010-08-26,1.326,1.3513,1.3067,1.3167,6507000,0,-0.0051,1.326,1.3344
2010-08-27,1.3167,1.3247,1.3,1.3133,5694000,0,0.0037,1.3167,1.3192
2010-08-30,1.3133,1.346,1.3073,1.3247,10992000,0,0.0088,1.3133,1.3215
2010-08-31,1.3107,1.3193,1.2887,1.2987,3016500,0,-0.0051,1.3107,1.3249
2010-09-01,1.308,1.3793,1.3067,1.3633,7423500,0,0.0444,1.308,1.304
2010-09-02,1.358,1.416,1.354,1.404,7306500,0,0.0301,1.358,1.366
2010-09-03,1.3913,1.42,1.3773,1.4033,6519000,0,0.0089,1.3913,1.3989
2010-09-07,1.374,1.4,1.3667,1.3693,3651000,0,0.0037,1.374,1.4037
2010-09-08,1.3773,1.3967,1.3733,1.3933,4326000,0,0.0165,1.3773,1.3791
2010-09-09,1.4,1.4033,1.3793,1.3807,5643000,0,-0.0154,1.4,1.4
2010-09-10,1.3833,1.3953,1.3173,1.3447,5799000,0,-0.0252,1.3833,1.3784
2010-09-13,1.3927,1.3933,1.3667,1.3813,5412000,0,-0.0051,1.3927,1.3485
2010-09-14,1.3693,1.44,1.3687,1.408,9820500,0,0.0294,1.3693,1.3856
2010-09-15,1.3987,1.4667,1.386,1.4653,10269000,0,0.0444,1.3987,1.4096
2010-09-16,1.4767,1.544,1.3893,1.396,40267500,0,-0.0506,1.4767,1.4607
2010-09-17,1.4013,1.4213,1.32,1.3487,17977500,0,-0.0252,1.4013,1.4019
2010-09-20,1.378,1.4233,1.344,1.404,14212500,0,0.0095,1.378,1.3661
2010-09-21,1.3927,1.4367,1.378,1.3847,11940000,0,-0.0152,1.3927,1.3911
2010-09-22,1.3913,1.3967,1.32,1.3247,14443500,0,-0.0506,1.3913,1.3715
2010-09-23,1.326,1.3427,1.3,1.304,10021500,0,-0.0072,1.326,1.3209
2010-09-24,1.33,1.346,1.31,1.34,8683500,0,0.0163,1.33,1.3165
2010-09-27,1.36,1.3873,1.3367,1.3687,6279000,0,0.0041,1.36,1.3517
2010-09-28,1.4027,1.4327,1.384,1.4267,18217500,0,0.0168,1.4027,1.3656
2010-09-29,1.4127,1.4687,1.4087,1.4653,29539500,0,0.0444,1.4127,1.4262
2010-09-30,1.4667,1.4767,1.346,1.3607,32937000,0,-0.0506,1.4667,1.4754
2010-10-01,1.3793,1.3833,1.354,1.3733,8965500,0,-0.0051,1.3793,1.3924
2010-10-04,1.362,1.4113,1.3533,1.3993,9654000,0,0.0294,1.362,1.3723
2010-10-05,1.41,1.4187,1.4007,1.408,4980000,0,-0.0032,1.41,1.402
2010-10-06,1.404,1.4173,1.3547,1.364,4701000,0,-0.0245,1.404,1.4055
2010-10-07,1.3713,1.376,1.356,1.362,2115000,0,-0.0051,1.3713,1.3695
2010-10-08,1.362,1.386,1.3593,1.362,4017000,0,0.0039,1.362,1.3643
2010-10-11,1.3627,1.38,1.338,1.3493,2568000,0,-0.0051,1.3627,1.3673
2010-10-12,1.3467,1.352,1.3353,1.3493,3660000,0,0.0041,1.3467,1.3557
2010-10-13,1.376,1.39,1.3573,1.3693,4773000,0,-0.0051,1.376,1.3522
2010-10-14,1.4,1.402,1.36,1.3833,4422000,0,-0.0135,1.4,1.369
2010-10-15,1.3927,1.3933,1.35,1.3693,4270500,0,-0.0245,1.3927,1.3812
2010-10-18,1.368,1.376,1.348,1.3487,2442000,0,-0.0072,1.368,1.3585
2010-10-19,1.3467,1.3607,1.3333,1.3367,3678000,0,-0.0051,1.3467,1.3582
2010-10-20,1.344,1.3793,1.336,1.3767,4687500,0,0.029,1.344,1.3398
2010-10-21,1.374,1.3967,1.3633,1.3833,6256500,0,0.0041,1.374,1.3829
2010-10-22,1.3787,1.3953,1.37,1.3813,2416500,0,0.0041,1.3787,1.3796
2010-10-25,1.396,1.3987,1.382,1.39,1777500,0,-0.0051,1.396,1.3843
2010-10-26,1.3867,1.458,1.3673,1.424,9913500,0,0.0294,1.3867,1.3889
2010-10-27,1.4167,1.4253,1.3767,1.4,5347500,0,-0.0051,1.4167,1.4274
2010-10-28,1.426,1.4333,1.3973,1.4127,3363000,0,-0.0051,1.426,1.4094
2010-10-29,1.4093,1.4567,1.4033,1.456,4209000,0,0.0301,1.4093,1.4187
2010-11-01,1.4627,1.5167,1.4207,1.4273,6837000,0,-0.0252,1.4627,1.4517
2010-11-02,1.4453,1.4587,1.4033,1.4167,4837500,0,-0.0245,1.4453,1.4259
2010-11-03,1.4187,1.5,1.4107,1.4513,5589000,0,0.0293,1.4187,1.4099
2010-11-04,1.5067,1.6887,1.4767,1.66,28110000,0,0.0845,1.5067,1.4602
2010-11-05,1.658,1.6647,1.5813,1.6293,15165000,0,-0.0245,1.658,1.634
2010-11-08,1.6333,1.6667,1.602,1.6653,7642500,0,0.0092,1.6333,1.6173
2010-11-09,1.6667,1.7127,1.6033,1.642,14346000,0,-0.0072,1.6667,1.6483
2010-11-10,1.632,1.998,1.6033,1.9573,45907500,0,0.0845,1.632,1.6547
2010-11-11,1.9067,1.94,1.822,1.8693,29179500,0,-0.0245,1.9067,1.7699
2010-11-12,1.8833,2.0333,1.8713,1.9893,40936500,0,0.0447,1.8833,1.8599
2010-11-15,2.0147,2.196,2.0147,2.0533,39343500,0,0.0088,2.0147,1.9674
2010-11-16,2.0667,2.0933,1.8947,1.978,20214000,0,-0.0474,2.0667,2.0325
2010-11-17,2.0133,2.05,1.9073,1.966,11250000,0,-0.0245,2.0133,1.9688
2010-11-18,2.0447,2.0493,1.928,1.9927,14341500,0,-0.0245,2.0447,1.9639
2010-11-19,2.0107,2.0913,1.98,2.066,17257500,0,0.0287,2.0107,1.9945
2010-11-22,2.1047,2.23,2.1,2.2267,22945500,0,0.082,2.1047,2.0684
2010-11-23,2.2193,2.3787,2.146,2.3047,23667000,0,0.0447,2.2193,2.2772
2010-11-24,2.3513,2.398,2.2887,2.3647,21375000,0,0.0039,2.3513,2.3184
2010-11-26,2.3733,2.4,2.3167,2.3547,5259000,0,-0.0152,2.3733,2.3605
2010-11-29,2.3607,2.3967,2.222,2.2887,17184000,0,-0.0245,2.3607,2.3373
2010-11-30,2.2493,2.3553,2.2273,2.3553,33339000,0,0.0444,2.2493,2.3027
2010-12-01,2.3913,2.428,2.23,2.29,19488000,0,-0.0506,2.3913,2.3491
2010-12-02,2.2673,2.2867,2.08,2.1567,30105000,0,-0.0506,2.2673,2.2703
2010-12-03,2.134,2.15,2.058,2.0993,17401500,0,-0.0165,2.134,2.1526
